"protein"	"Category"
"PIM1"	"analyte"
"PIM2"	"analyte"
"PIN1"	"analyte"
"PIP"	"analyte"
"PIP4K2C"	"analyte"
"PIP5K1B"	"analyte"
"PIR"	"analyte"
"PITRM1"	"analyte"
"PITX2"	"analyte"
"PIWIL2"	"analyte"
"PKDCC"	"analyte"
"PKLR"	"analyte"
"PKM"	"analyte"
"PKMYT1"	"analyte"
"PKNOX1"	"analyte"
"PLAC1"	"analyte"
"PLAGL2"	"analyte"
"PLD2"	"analyte"
"PLEKHA5"	"analyte"
"PLK1"	"analyte"
"PLK2"	"analyte"
"PLK4"	"analyte"
"PMEL"	"analyte"
"PMF1"	"analyte"
"PMVK"	"analyte"
"PNPT1"	"analyte"
"PO2F2"	"analyte"
"POLR2I"	"analyte"
"POMK"	"analyte"
"POTEE"	"analyte"
"POTEH"	"analyte"
"POU2AF1"	"analyte"
"POU5F1"	"analyte"
"PPARD"	"analyte"
"PPARG"	"analyte"
"PPIC"	"analyte"
"PPID"	"analyte"
"PPM1A"	"analyte"
"PPP1CB"	"analyte"
"PPP1R14A"	"analyte"
"PPP1R2P9"	"analyte"
"PPP2CB"	"analyte"
"PPP2R1A"	"analyte"
"PPP2R1B"	"analyte"
"PPP2R2B"	"analyte"
"PPP2R2C"	"analyte"
"PPP2R5A"	"analyte"
"PPP2R5C"	"analyte"
"PPP3CA"	"analyte"
"PPP3CC"	"analyte"
"PPP3R1"	"analyte"
"PPP4C"	"analyte"
"PPP4R1"	"analyte"
"PQBP1"	"analyte"
"PRAME"	"analyte"
"PRC1"	"analyte"
"PRCC"	"analyte"
"PRDM4"	"analyte"
"PRDX1"	"analyte"
"PRDX6"	"analyte"
"PRELID1"	"analyte"
"PRKAA1"	"analyte"
"PRKAA2"	"analyte"
"PRKACA"	"analyte"
"PRKACB"	"analyte"
"PRKACG"	"analyte"
"PRKAG3"	"analyte"
"PRKAR1A"	"analyte"
"PRKCB"	"analyte"
"PRKCH"	"analyte"
"PRKCI"	"analyte"
"PRKCZ"	"analyte"
"PRKD2"	"analyte"
"PRKD3"	"analyte"
"PRKRA"	"analyte"
"PRKX"	"analyte"
"PRL"	"analyte"
"PRM1"	"analyte"
"PRM2"	"analyte"
"PRPF4"	"analyte"
"PRPS2"	"analyte"
"PRSS50"	"analyte"
"PRSS54"	"analyte"
"PSCA"	"analyte"
"PSG1"	"analyte"
"PSG11"	"analyte"
"PSIP1"	"analyte"
"PSMA6"	"analyte"
"PSMB10"	"analyte"
"PSMB3"	"analyte"
"PSMB8"	"analyte"
"PSMB9"	"analyte"
"PSMD4"	"analyte"
"PSMD9"	"analyte"
"PSME1"	"analyte"
"PSME2"	"analyte"
"PSME3"	"analyte"
"PTEN"	"analyte"
"PTGDR"	"analyte"
"PTGER3"	"analyte"
"PTK2_iso1"	"analyte"
"PTK2_iso2"	"analyte"
"PTK6"	"analyte"
"PTK7_ext"	"analyte"
"PTK7_int"	"analyte"
"PTP4A1"	"analyte"
"PTP4A2"	"analyte"
"PTP4A3"	"analyte"
"PTPA"	"analyte"
"PTPN1"	"analyte"
"PTPN11"	"analyte"
"PTPN2"	"analyte"
"PTPN20"	"analyte"
"PTPN22"	"analyte"
"PTPN4"	"analyte"
"PTPN6"	"analyte"
"PTRH1"	"analyte"
"PTTG1IP"	"analyte"
"PXK"	"analyte"
"PXN"	"analyte"
"PYCR1"	"analyte"
"PYGB"	"analyte"
"PYGO2"	"analyte"
"RAB38"	"analyte"
"RABEP1"	"analyte"
"RABL6"	"analyte"
"RAC1"	"analyte"
"RAC2"	"analyte"
"RAD21"	"analyte"
"RAD23A"	"analyte"
"RAD23B"	"analyte"
"RAD51"	"analyte"
"RAD51B"	"analyte"
"RAD51D"	"analyte"
"RAF1"	"analyte"
"RAG1"	"analyte"
"RALBP1"	"analyte"
"RAN"	"analyte"
"RAP1GDS1"	"analyte"
"RAPGEF4"	"analyte"
"RARA"	"analyte"
"RARB"	"analyte"
"RB1"	"analyte"
"RBKS"	"analyte"
"RBM28"	"analyte"
"RBM46"	"analyte"
"RBM6"	"analyte"
"RBM7"	"analyte"
"RBMS1"	"analyte"
"RBPJ"	"analyte"
"RCAN1"	"analyte"
"RCC2"	"analyte"
"REG3A"	"analyte"
"RERG"	"analyte"
"RET"	"analyte"
"RET_ext"	"analyte"
"RET_int"	"analyte"
"REXO4"	"analyte"
"RFK"	"analyte"
"RFX3"	"analyte"
"RGS5"	"analyte"
"RHOA"	"analyte"
"RHOB"	"analyte"
"RHOH"	"analyte"
"RHOT2"	"analyte"
"RHOXF2"	"analyte"
"RIDA"	"analyte"
"RING1"	"analyte"
"RIOK2"	"analyte"
"RIOK3"	"analyte"
"RIPK1"	"analyte"
"RIPK2"	"analyte"
"RIPK3"	"analyte"
"RNASEL"	"analyte"
"RNF38"	"analyte"
"RNF40"	"analyte"
"RNF6"	"analyte"
"RNF7"	"analyte"
"RNGTT"	"analyte"
"ROPN1"	"analyte"
"RORC"	"analyte"
"RPA2"	"analyte"
"RPL10"	"analyte"
"RPL10A"	"analyte"
"RPL11"	"analyte"
"RPL13A"	"analyte"
"RPL15"	"analyte"
"RPL17"	"analyte"
"RPL18"	"analyte"
"RPL18A"	"analyte"
"RPL22"	"analyte"
"RPL27A"	"analyte"
"RPL30"	"analyte"
"RPL31"	"analyte"
"RPL32"	"analyte"
"RPL34"	"analyte"
"RPL37A"	"analyte"
"RPL5"	"analyte"
"RPL7A"	"analyte"
"RPLP1"	"analyte"
"RPS15A"	"analyte"
"RPS2"	"analyte"
"RPS27A"	"analyte"
"RPS6KA1"	"analyte"
"RPS6KA2"	"analyte"
"RPS6KA3"	"analyte"
"RPS6KA4"	"analyte"
"RPS6KA5"	"analyte"
"RPS6KA6"	"analyte"
"RPS6KB1"	"analyte"
"RPS6KB2"	"analyte"
"RPS6KL1"	"analyte"
"RPS7"	"analyte"
"RRAGC"	"analyte"
"RRAS"	"analyte"
"RRAS2"	"analyte"
"RTFDC1"	"analyte"
"RUFY1"	"analyte"
"RUNX1T1"	"analyte"
"RUVBL1"	"analyte"
"RXRB"	"analyte"
"S100A6"	"analyte"
"S100A7"	"analyte"
"S100A8"	"analyte"
"S100A9"	"analyte"
"S100P"	"analyte"
"SAGE1"	"analyte"
"SART3"	"analyte"
"SAV1"	"analyte"
"SBDS"	"analyte"
"SCAND1"	"analyte"
"SCEL"	"analyte"
"SCFD1"	"analyte"
"SCGB1D2"	"analyte"
"SCMH1"	"analyte"
"SCP2"	"analyte"
"SCYL3"	"analyte"
"SDCCAG3"	"analyte"
"SDCCAG8"	"analyte"
"SDHB"	"analyte"
"SDHC"	"analyte"
"SEC14L2"	"analyte"
"SECISBP2"	"analyte"
"SEMG1"	"analyte"
"SEPT4"	"analyte"
"SEPT5"	"analyte"
"SEPT6"	"analyte"
"SEPT9"	"analyte"
"SERPINB5"	"analyte"
"SERPINE2"	"analyte"
"SERPINF2"	"analyte"
"SET"	"analyte"
"SFN"	"analyte"
"SGK1"	"analyte"
"SGK2"	"analyte"
"SGK3"	"analyte"
"SGO1"	"analyte"
"SGSM3"	"analyte"
"SH2B1"	"analyte"
"SH2D1A"	"analyte"
"SH3BGRL3"	"analyte"
"SH3GL1"	"analyte"
"SH3GLB1"	"analyte"
"SHPK"	"analyte"
"SIAH1"	"analyte"
"SIK2"	"analyte"
"SIVA1"	"analyte"
"SIX1"	"analyte"
"SKAP1"	"analyte"
"SLA"	"analyte"
"SLA2"	"analyte"
"SLC25A6"	"analyte"
"SLCO6A1"	"analyte"
"SMAD2"	"analyte"
"SMAD4"	"analyte"
"SMAD5"	"analyte"
"SMAD9"	"analyte"
"SMARCD1"	"analyte"
"SMN2"	"analyte"
"SNCA"	"analyte"
"SNX6"	"analyte"
"SOCS2"	"analyte"
"SOCS3"	"analyte"
"SOCS5"	"analyte"
"SOCS6"	"analyte"
"SOD1"	"analyte"
"SOD2"	"analyte"
"SORD"	"analyte"
"SOX10"	"analyte"
"SOX15"	"analyte"
"SOX2"	"analyte"
"SP1"	"analyte"
"SP110"	"analyte"
"SP2"	"analyte"
"SPA17"	"analyte"
"SPACA3"	"analyte"
"SPAG4"	"analyte"
"SPAG9"	"analyte"
"SPANXN1"	"analyte"
"SPANXN2"	"analyte"
"SPANXN4"	"analyte"
"SPARC"	"analyte"
"SPARCL1"	"analyte"
"SPATA19"	"analyte"
"SPATA25"	"analyte"
"SPDEF"	"analyte"
"SPEG"	"analyte"
"SPG20"	"analyte"
"SPIB"	"analyte"
"SPIC"	"analyte"
"SPO11"	"analyte"
"SQSTM1"	"analyte"
"SRM"	"analyte"
"SRP19"	"analyte"
"SRPK1"	"analyte"
"SRPK2"	"analyte"
"SRPX2"	"analyte"
"SRSF5"	"analyte"
"SS18L1"	"analyte"
"SSB"	"analyte"
"SSBP4"	"analyte"
"SSNA1"	"analyte"
"SSX1"	"analyte"
"SSX2"	"analyte"
"SSX2b"	"analyte"
"SSX3"	"analyte"
"SSX4"	"analyte"
"SSX4B"	"analyte"
"SSX5"	"analyte"
"SSX7"	"analyte"
"STAM"	"analyte"
"STAM2"	"analyte"
"STAP1"	"analyte"
"STARD7"	"analyte"
"STAT1"	"analyte"
"STAT3"	"analyte"
"STAT4"	"analyte"
"STAT5A"	"analyte"
"STAU1"	"analyte"
"STIP1"	"analyte"
"STK10"	"analyte"
"STK11"	"analyte"
"STK16"	"analyte"
"STK17B"	"analyte"
"STK24"	"analyte"
"STK25"	"analyte"
"STK26"	"analyte"
"STK3"	"analyte"
"STK32A"	"analyte"
"STK32B"	"analyte"
"STK32C"	"analyte"
"STK33"	"analyte"
"STK38"	"analyte"
"STK38L"	"analyte"
"STK4"	"analyte"
"STKLD1"	"analyte"
"STMN1"	"analyte"
"STRADA"	"analyte"
"STRADB"	"analyte"
"STUB1"	"analyte"
"STYX"	"analyte"
"STYXL1"	"analyte"
"SUB1"	"analyte"
"SUCLA2"	"analyte"
"SUFU"	"analyte"
"SUMO2"	"analyte"
"SUPT20H"	"analyte"
"SUPT4H1"	"analyte"
"SYCE1"	"analyte"
"SYCP1"	"analyte"
"SYK"	"analyte"
"TACC1"	"analyte"
"TACSTD2"	"analyte"
"TADA2A"	"analyte"
"TADA3"	"analyte"
"TAF5L"	"analyte"
"TAF6L"	"analyte"
"TAF7L"	"analyte"
"TAF9"	"analyte"
"TAGLN"	"analyte"
"TAOK3"	"analyte"
"TARDBP"	"analyte"
"TBC1D2"	"analyte"
"TBC1D5"	"analyte"
"TBCB"	"analyte"
"TBK1"	"analyte"
"TBL1X"	"analyte"
"TBPL1"	"analyte"
"TBX5"	"analyte"
"TBX6"	"analyte"
"TCEA2"	"analyte"
"TCEAL1"	"analyte"
"TCF12"	"analyte"
"TCF21"	"analyte"
"TCF4"	"analyte"
"TCL1A"	"analyte"
"TDP2"	"analyte"
"TDRD1"	"analyte"
"TDRD3"	"analyte"
"TDRKH"	"analyte"
"TEAD2"	"analyte"
"TEAD3"	"analyte"
"TEK"	"analyte"
"TERT"	"analyte"
"TEX101"	"analyte"
"TEX14"	"analyte"
"TFAP4"	"analyte"
"TFCP2"	"analyte"
"TFCP2L1"	"analyte"
"TFDP1"	"analyte"
"TFDP2"	"analyte"
"TFDP3"	"analyte"
"TFE3"	"analyte"
"TFEB"	"analyte"
"TFEC"	"analyte"
"TFG"	"analyte"
"TFPT"	"analyte"
"TFRC"	"analyte"
"TGFBR2"	"analyte"
"TGIF1"	"analyte"
"TGIF2"	"analyte"
"THEG"	"analyte"
"THRA"	"analyte"
"THRB"	"analyte"
"THUMPD1"	"analyte"
"TIE1_ext"	"analyte"
"TIE1_int"	"analyte"
"TIMP3"	"analyte"
"TIRAP"	"analyte"
"TK1"	"analyte"
"TKT"	"analyte"
"TLK1"	"analyte"
"TLK2"	"analyte"
"TLX2"	"analyte"
"TMEFF1"	"analyte"
"TMEFF2"	"analyte"
"TMEM108"	"analyte"
"TNFAIP6"	"analyte"
"TNFAIP8"	"analyte"
"TNFRSF11B"	"analyte"
"TNIP1"	"analyte"
"TNK2"	"analyte"
"TOLLIP"	"analyte"
"TOM1"	"analyte"
"TP53"	"analyte"
"TP53RK"	"analyte"
"TP63"	"analyte"
"TP73"	"analyte"
"TPBG"	"analyte"
"TPI1"	"analyte"
"TPM1"	"analyte"
"TPM3"	"analyte"
"TPM4"	"analyte"
"TPTE"	"analyte"
"TRAF1"	"analyte"
"TRAF2"	"analyte"
"TRAF3IP1"	"analyte"
"TRAF4"	"analyte"
"TRAF5"	"analyte"
"TRAF6"	"analyte"
"TRAIP"	"analyte"
"TRIB2"	"analyte"
"TRIB3"	"analyte"
"TRIM32"	"analyte"
"TRIM37"	"analyte"
"TRIP11"	"analyte"
"TRMT10C"	"analyte"
"TROVE2"	"analyte"
"TSC22D1"	"analyte"
"TSC22D4"	"analyte"
"TSG101"	"analyte"
"TSGA10"	"analyte"
"TSPY1"	"analyte"
"TSPY2"	"analyte"
"TSPY3"	"analyte"
"TSSK1B"	"analyte"
"TSSK2"	"analyte"
"TSSK3"	"analyte"
"TSSK6"	"analyte"
"TTBK2"	"analyte"
"TTF2"	"analyte"
"TTK"	"analyte"
"TUBA4A"	"analyte"
"TUBB"	"analyte"
"TUBGCP3"	"analyte"
"TULP2"	"analyte"
"TWF1"	"analyte"
"TWF2"	"analyte"
"TWIST2"	"analyte"
"TXN2"	"analyte"
"TXNRD1"	"analyte"
"TYMS"	"analyte"
"TYRO3"	"analyte"
"TYRO3_int"	"analyte"
"TYRP1"	"analyte"
"UBA1"	"analyte"
"UBA3"	"analyte"
"UBE2I"	"analyte"
"UBE2Q1"	"analyte"
"UBE2V1"	"analyte"
"UBP1"	"analyte"
"UCHL3"	"analyte"
"UCKL1"	"analyte"
"UHMK1"	"analyte"
"ULK2"	"analyte"
"ULK4"	"analyte"
"UQCRC1"	"analyte"
"USF1"	"analyte"
"USF2"	"analyte"
"USH1C"	"analyte"
"USP10"	"analyte"
"UTP14A"	"analyte"
"UXT"	"analyte"
"VAV1"	"analyte"
"VAX2"	"analyte"
"VCL"	"analyte"
"VDR"	"analyte"
"VEGFB"	"analyte"
"VEGFD"	"analyte"
"VGLL1"	"analyte"
"VHL"	"analyte"
"VIM"	"analyte"
"VPS45"	"analyte"
"VPS4A"	"analyte"
"VPS54"	"analyte"
"VPS72"	"analyte"
"VRK3"	"analyte"
"WAS"	"analyte"
"WDR45B"	"analyte"
"WDR46"	"analyte"
"WISP3"	"analyte"
"WT1"	"analyte"
"WWOX"	"analyte"
"WWTR1"	"analyte"
"XAGE1A"	"analyte"
"XAGE2"	"analyte"
"XAGE4"	"analyte"
"XBP1"	"analyte"
"XIAP"	"analyte"
"XYLB"	"analyte"
"YARS"	"analyte"
"YEATS4"	"analyte"
"YTHDF2"	"analyte"
"YWHAE"	"analyte"
"YWHAG"	"analyte"
"ZAP70"	"analyte"
"ZBTB16"	"analyte"
"ZBTB25"	"analyte"
"ZBTB32"	"analyte"
"ZBTB7B"	"analyte"
"ZC4H2"	"analyte"
"ZFP36L1"	"analyte"
"ZHX2"	"analyte"
"ZKSCAN1"	"analyte"
"ZKSCAN3"	"analyte"
"ZKSCAN4"	"analyte"
"ZKSCAN5"	"analyte"
"ZMAT2"	"analyte"
"ZMAT3"	"analyte"
"ZMYM2"	"analyte"
"ZMYND11"	"analyte"
"ZMYND8"	"analyte"
"ZNF136"	"analyte"
"ZNF165"	"analyte"
"ZNF169"	"analyte"
"ZNF174"	"analyte"
"ZNF19"	"analyte"
"ZNF202"	"analyte"
"ZNF207"	"analyte"
"ZNF256"	"analyte"
"ZNF274"	"analyte"
"ZNF276"	"analyte"
"ZNF277"	"analyte"
"ZNF282"	"analyte"
"ZNF3"	"analyte"
"ZNF323"	"analyte"
"ZNF331"	"analyte"
"ZNF346"	"analyte"
"ZNF35"	"analyte"
"ZNF354A"	"analyte"
"ZNF37A"	"analyte"
"ZNF384"	"analyte"
"ZNF394"	"analyte"
"ZNF398"	"analyte"
"ZNF41"	"analyte"
"ZNF444"	"analyte"
"ZNF449"	"analyte"
"ZNF496"	"analyte"
"ZNF593"	"analyte"
"ZNF645"	"analyte"
"ZNF70"	"analyte"
"ZNHIT3"	"analyte"
"ZNRD1"	"analyte"
"ZSCAN12"	"analyte"
"ZSCAN16"	"analyte"
"ZSCAN18"	"analyte"
"ZSCAN21"	"analyte"
"ZSCAN26"	"analyte"
"ZSCAN9"	"analyte"
"ZZ_con1"	"control"
"ZZ_con2"	"control"
"ZZ_con3"	"control"
"ZZ_con4"	"control"
"zzz_bccp1"	"control"
"zzz_bccp2"	"control"
"zzz_bccp3"	"control"
"zzz_bccp4"	"control"
"zzz_bccp5"	"control"
"zzz_bccp6"	"control"
"zzz_BSA_1"	"control"
"zzz_Cy3BSA_1"	"control"
"zzz_Cy3BSA_10"	"control"
"zzz_Cy3BSA_11"	"control"
"zzz_Cy3BSA_12"	"control"
"zzz_Cy3BSA_13"	"control"
"zzz_Cy3BSA_14"	"control"
"zzz_Cy3BSA_15"	"control"
"zzz_Cy3BSA_16"	"control"
"zzz_Cy3BSA_17"	"control"
"zzz_Cy3BSA_18"	"control"
"zzz_Cy3BSA_19"	"control"
"zzz_Cy3BSA_2"	"control"
"zzz_Cy3BSA_20"	"control"
"zzz_Cy3BSA_21"	"control"
"zzz_Cy3BSA_22"	"control"
"zzz_Cy3BSA_23"	"control"
"zzz_Cy3BSA_3"	"control"
"zzz_Cy3BSA_4"	"control"
"zzz_Cy3BSA_5"	"control"
"zzz_Cy3BSA_6"	"control"
"zzz_Cy3BSA_7"	"control"
"zzz_Cy3BSA_8"	"control"
"zzz_Cy3BSA_9"	"control"
"zzz_iga1"	"control"
"zzz_iga2"	"control"
"zzz_iga3"	"control"
"zzz_iga4"	"control"
"zzz_iga5"	"control"
"zzz_iga6"	"control"
"zzz_igg1"	"control"
"zzz_igg2"	"control"
"zzz_igg3"	"control"
"zzz_igg4"	"control"
"zzz_igg5"	"control"
"zzz_igg6"	"control"
"zzz_igm1"	"control"
"zzz_igm2"	"control"
"zzz_igm3"	"control"
"zzz_igm4"	"control"
"zzz_igm5"	"control"
"zzz_igm6"	"control"
"zzz_pPRO9"	"control"
"zzzz_ABL2"	"control"
"zzzz_AFF4"	"control"
"zzzz_AHCY"	"control"
"zzzz_AIFM2"	"control"
"zzzz_ALX1"	"control"
"zzzz_BAX"	"control"
"zzzz_BCL10"	"control"
"zzzz_BIRC7"	"control"
"zzzz_BLK"	"control"
"zzzz_BUB1"	"control"
"zzzz_CALM1"	"control"
"zzzz_CAMK2G"	"control"
"zzzz_CASP2"	"control"
"zzzz_CD96"	"control"
"zzzz_CDC25B"	"control"
"zzzz_CDK16"	"control"
"zzzz_CDK2"	"control"
"zzzz_CDK4"	"control"
"zzzz_CKS1B"	"control"
"zzzz_CLK4"	"control"
"zzzz_CNOT7"	"control"
"zzzz_COQ8B"	"control"
"zzzz_CSNK1E"	"control"
"zzzz_CUL1"	"control"
"zzzz_DAPK1"	"control"
"zzzz_DVL3"	"control"
"zzzz_DYRK2"	"control"
"zzzz_DYRK3"	"control"
"zzzz_DYRK4"	"control"
"zzzz_ELL3"	"control"
"zzzz_ELMO3"	"control"
"zzzz_EPHB1"	"control"
"zzzz_FASTK"	"control"
"zzzz_FLI1"	"control"
"zzzz_FOSL2"	"control"
"zzzz_FOXM1"	"control"
"zzzz_FRK"	"control"
"zzzz_FRS2"	"control"
"zzzz_FYN"	"control"
"zzzz_G6PD"	"control"
"zzzz_GNGT1"	"control"
"zzzz_GOLGA5"	"control"
"zzzz_GTF2A1L"	"control"
"zzzz_HK1"	"control"
"zzzz_HOXA9"	"control"
"zzzz_HOXC9"	"control"
"zzzz_HOXD3"	"control"
"zzzz_HSPE1"	"control"
"zzzz_IFIT3"	"control"
"zzzz_INPP1"	"control"
"zzzz_IRF2"	"control"
"zzzz_ISL1"	"control"
"zzzz_KLF11"	"control"
"zzzz_KRR1"	"control"
"zzzz_LASS4"	"control"
"zzzz_LIMK2"	"control"
"zzzz_LMNA"	"control"
"zzzz_MAP3K14"	"control"
"zzzz_MAP3K20"	"control"
"zzzz_MAP3K6"	"control"
"zzzz_MAPK6"	"control"
"zzzz_MAPKAPK3"	"control"
"zzzz_MATK"	"control"
"zzzz_MOBKL3"	"control"
"zzzz_MXD3"	"control"
"zzzz_MXI1"	"control"
"zzzz_NCF2"	"control"
"zzzz_NDRG2"	"control"
"zzzz_NEUROD1"	"control"
"zzzz_NFIA"	"control"
"zzzz_NFX1"	"control"
"zzzz_NPM1"	"control"
"zzzz_NTRK2"	"control"
"zzzz_NUP98"	"control"
"zzzz_OTX1"	"control"
"zzzz_PBK"	"control"
"zzzz_PDGFB"	"control"
"zzzz_PDGFRB"	"control"
"zzzz_PDK2"	"control"
"zzzz_PFTK2"	"control"
"zzzz_PHB"	"control"
"zzzz_PIM2"	"control"
"zzzz_PJA2"	"control"
"zzzz_PLK1"	"control"
"zzzz_PMAIP1"	"control"
"zzzz_POLR2E"	"control"
"zzzz_POU3F2"	"control"
"zzzz_PPAT"	"control"
"zzzz_PPP2CB"	"control"
"zzzz_PRIM1"	"control"
"zzzz_PRKD2"	"control"
"zzzz_PRPF4"	"control"
"zzzz_PRPS1L1"	"control"
"zzzz_PSKH1"	"control"
"zzzz_PTK2"	"control"
"zzzz_PTPN6"	"control"
"zzzz_PXK"	"control"
"zzzz_RAB11FIP3"	"control"
"zzzz_RLIM"	"control"
"zzzz_RPL18A"	"control"
"zzzz_RPL28"	"control"
"zzzz_RPS6KA5"	"control"
"zzzz_RRAS2"	"control"
"zzzz_RUNX1T1"	"control"
"zzzz_RXRG"	"control"
"zzzz_SEPT5a"	"control"
"zzzz_SMAD4"	"control"
"zzzz_SMARCE1"	"control"
"zzzz_SOCS2"	"control"
"zzzz_SRC"	"control"
"zzzz_SSBP3"	"control"
"zzzz_STAP1"	"control"
"zzzz_STAT4"	"control"
"zzzz_TADA3L"	"control"
"zzzz_TAF15"	"control"
"zzzz_TBCKL"	"control"
"zzzz_TBK1"	"control"
"zzzz_TEK"	"control"
"zzzz_TESK2"	"control"
"zzzz_TIA1"	"control"
"zzzz_TPD52"	"control"
"zzzz_TRIB3"	"control"
"zzzz_TRIM25"	"control"
"zzzz_TRIP6"	"control"
"zzzz_TYR"	"control"
"zzzz_UCK2"	"control"
"zzzz_UHMK1"	"control"
"zzzz_ULK4"	"control"
"zzzz_UXT"	"control"
"zzzz_WWTR1"	"control"
"zzzz_YAF2"	"control"
"zzzz_ZBTB16"	"control"
"zzzz_ZKSCAN1"	"control"
"zzzz_ZNF143"	"control"
"zzzz_ZNF232"	"control"
"zzzz_ZNF45"	"control"
"zzzzFANCG"	"control"
"zzzzz_CAMK2G"	"control"
"zzzzz_CASP2"	"control"
"zzzzz_CDC25B"	"control"
"zzzzz_CDK4"	"control"
"zzzzz_CLK4"	"control"
"zzzzz_CNOT7"	"control"
"zzzzz_CSNK1E"	"control"
"zzzzz_DVL3"	"control"
"zzzzz_ELMO3"	"control"
"zzzzz_EPHB1"	"control"
"zzzzz_FOXM1"	"control"
"zzzzz_FRS2"	"control"
"zzzzz_GTF2A1L"	"control"
"zzzzz_HK1"	"control"
"zzzzz_HOXC9"	"control"
"zzzzz_HOXD3"	"control"
"zzzzz_IFIT3"	"control"
"zzzzz_ISL1"	"control"
"zzzzz_KLF11"	"control"
"zzzzz_KRR1"	"control"
"zzzzz_LASS4"	"control"
"zzzzz_MAP3K14"	"control"
"zzzzz_MOBKL3"	"control"
"zzzzz_MXD3"	"control"
"zzzzz_MXI1"	"control"
"zzzzz_NCF2"	"control"
"zzzzz_NTRK2"	"control"
"zzzzz_OTX1"	"control"
"zzzzz_PDK2"	"control"
"zzzzz_PFTK2"	"control"
"zzzzz_PHB"	"control"
"zzzzz_PJA2"	"control"
"zzzzz_PMAIP1"	"control"
"zzzzz_POLR2E"	"control"
"zzzzz_POU3F2"	"control"
"zzzzz_PRIM1"	"control"
"zzzzz_PSKH1"	"control"
"zzzzz_RAB11FIP3"	"control"
"zzzzz_RLIM"	"control"
"zzzzz_RXRG"	"control"
"zzzzz_SRC"	"control"
"zzzzz_SSBP3"	"control"
"zzzzz_TAF15"	"control"
"zzzzz_TBCKL"	"control"
"zzzzz_TIA1"	"control"
"zzzzz_TPD52"	"control"
"zzzzz_TRIB3"	"control"
"zzzzz_TRIM25"	"control"
"zzzzz_TRIP6"	"control"
"zzzzz_UCK2"	"control"
"zzzzz_YAF2"	"control"
"zzzzz_ZNF143"	"control"
"zzzzz_ZNF232"	"control"
