"protein"	"Category"
"CEBPG"	"analyte"
"CEP55"	"analyte"
"CERS2"	"analyte"
"CFL1"	"analyte"
"CHEK1"	"analyte"
"CHEK2"	"analyte"
"CHI3L1"	"analyte"
"CHIC2"	"analyte"
"CHMP3"	"analyte"
"CHN1"	"analyte"
"CHST4"	"analyte"
"CIDEB"	"analyte"
"CIDEC"	"analyte"
"CISH"	"analyte"
"CITED1"	"analyte"
"CKB"	"analyte"
"CKM"	"analyte"
"CKMT2"	"analyte"
"CKS1B"	"analyte"
"CLK1"	"analyte"
"CLK2"	"analyte"
"CLK3"	"analyte"
"CLUAP1"	"analyte"
"CMC4"	"analyte"
"CMPK1"	"analyte"
"CNN1"	"analyte"
"CNOT2"	"analyte"
"CNOT8"	"analyte"
"CNOT9"	"analyte"
"CNRIP1"	"analyte"
"COL4A3BP"	"analyte"
"COMMD3"	"analyte"
"COPB2"	"analyte"
"COPG2"	"analyte"
"COPS6"	"analyte"
"COQ8A"	"analyte"
"COQ8B"	"analyte"
"COTL1"	"analyte"
"COX6B2"	"analyte"
"COX6C"	"analyte"
"CPA4"	"analyte"
"CPM"	"analyte"
"CPXCR1"	"analyte"
"CRADD"	"analyte"
"CREB1"	"analyte"
"CREB5"	"analyte"
"CRISP2"	"analyte"
"CROT"	"analyte"
"CRX"	"analyte"
"CRYAB"	"analyte"
"CSAG1"	"analyte"
"CSAG2"	"analyte"
"CSK"	"analyte"
"CSNK1D"	"analyte"
"CSNK1G1"	"analyte"
"CSNK1G2"	"analyte"
"CSNK2A1"	"analyte"
"CSNK2A2"	"analyte"
"CSRNP1"	"analyte"
"CST4"	"analyte"
"CSTB"	"analyte"
"CT45A1"	"analyte"
"CT47A1"	"analyte"
"CT55"	"analyte"
"CT62"	"analyte"
"CT83"	"analyte"
"CTAG1A"	"analyte"
"CTAG2"	"analyte"
"CTAGE1"	"analyte"
"CTAGE5"	"analyte"
"CTBP2"	"analyte"
"CTCFL"	"analyte"
"CTNNA2"	"analyte"
"CTNNB1"	"analyte"
"CTNNBL1"	"analyte"
"CTSD"	"analyte"
"CTSE"	"analyte"
"CTTN"	"analyte"
"CUL4A"	"analyte"
"CUL5"	"analyte"
"CWC27"	"analyte"
"CXCR2"	"analyte"
"CXCR4"	"analyte"
"CXCR6"	"analyte"
"CXXC1"	"analyte"
"CYCS"	"analyte"
"CYLD"	"analyte"
"CYP1B1"	"analyte"
"DAPK1"	"analyte"
"DAPK2"	"analyte"
"DBNL"	"analyte"
"DCAF12"	"analyte"
"DCBLD2"	"analyte"
"DCDC2"	"analyte"
"DCLK1"	"analyte"
"DCLK2"	"analyte"
"DCT"	"analyte"
"DDB1"	"analyte"
"DDB2"	"analyte"
"DDIT3"	"analyte"
"DDR1"	"analyte"
"DDR1_ext"	"analyte"
"DDR1_int"	"analyte"
"DDX43"	"analyte"
"DDX5"	"analyte"
"DDX53"	"analyte"
"DDX55"	"analyte"
"DEDD"	"analyte"
"DEK"	"analyte"
"DFFA"	"analyte"
"DGKA"	"analyte"
"DGUOK"	"analyte"
"DKK1"	"analyte"
"DKKL1"	"analyte"
"DLX1"	"analyte"
"DLX3"	"analyte"
"DLX4"	"analyte"
"DMAP1"	"analyte"
"DMPK"	"analyte"
"DMRTB1"	"analyte"
"DMRTC2"	"analyte"
"DNAJA1"	"analyte"
"DNAJA2"	"analyte"
"DNAJB1"	"analyte"
"DNM1L"	"analyte"
"DNM2"	"analyte"
"DNMT3L"	"analyte"
"DNTT"	"analyte"
"DPF2"	"analyte"
"DPPA2"	"analyte"
"DR1"	"analyte"
"DRD2"	"analyte"
"DSTYK"	"analyte"
"DTYMK"	"analyte"
"DUSP10"	"analyte"
"DUSP11"	"analyte"
"DUSP12"	"analyte"
"DUSP13"	"analyte"
"DUSP14"	"analyte"
"DUSP18"	"analyte"
"DUSP4"	"analyte"
"DUSP6"	"analyte"
"DVL2"	"analyte"
"DXO"	"analyte"
"DYNC1LI2"	"analyte"
"DYRK2"	"analyte"
"DYRK3"	"analyte"
"DYRK4"	"analyte"
"E2F6"	"analyte"
"E6"	"analyte"
"E7"	"analyte"
"EAPP"	"analyte"
"ECI2"	"analyte"
"EEF1A1"	"analyte"
"EEF1A2"	"analyte"
"EEF1D"	"analyte"
"EEF1G"	"analyte"
"EEF2K"	"analyte"
"EFHD2"	"analyte"
"EFS"	"analyte"
"EGFR_ext"	"analyte"
"EGFR_int"	"analyte"
"EGR2"	"analyte"
"EHF"	"analyte"
"EHMT2"	"analyte"
"EIF4A2"	"analyte"
"EIF4A3"	"analyte"
"EIF4E"	"analyte"
"EIF4EBP1"	"analyte"
"ELF1"	"analyte"
"ELF2"	"analyte"
"ELF4"	"analyte"
"ELF5"	"analyte"
"ELK1"	"analyte"
"ELK3"	"analyte"
"ELL3"	"analyte"
"ELMOD1"	"analyte"
"ELMOD3"	"analyte"
"ELOA"	"analyte"
"ELOVL4"	"analyte"
"ENO1"	"analyte"
"ENO2"	"analyte"
"EPAS1"	"analyte"
"EPCAM"	"analyte"
"EPHA10"	"analyte"
"EPHA2"	"analyte"
"EPHA3_ext"	"analyte"
"EPHB3_int"	"analyte"
"EPHB4"	"analyte"
"EPPIN"	"analyte"
"EPS15"	"analyte"
"ERBB2"	"analyte"
"ERBB3_ext"	"analyte"
"ERBB3_int"	"analyte"
"ERCC2"	"analyte"
"ERCC3"	"analyte"
"ERCC5"	"analyte"
"ERG"	"analyte"
"ESR2"	"analyte"
"ESRRG"	"analyte"
"ETNK2"	"analyte"
"ETS2"	"analyte"
"ETV4"	"analyte"
"ETV6"	"analyte"
"ETV7"	"analyte"
"EWSR1"	"analyte"
"EXOSC10"	"analyte"
"EXOSC4"	"analyte"
"EXOSC8"	"analyte"
"EXT1"	"analyte"
"EXT2"	"analyte"
"EZH2"	"analyte"
"EZR"	"analyte"
"FADD"	"analyte"
"FAF1"	"analyte"
"FAIM"	"analyte"
"FAM133A"	"analyte"
"FAM46D"	"analyte"
"FAM50B"	"analyte"
"FANCC"	"analyte"
"FAP"	"analyte"
"FAS"	"analyte"
"FASTK"	"analyte"
"FASTKD1"	"analyte"
"FATE1"	"analyte"
"FBXO9"	"analyte"
"FEN1"	"analyte"
"FES"	"analyte"
"FGF1"	"analyte"
"FGF13"	"analyte"
"FGFR1"	"analyte"
"FGFR1_ext"	"analyte"
"FGFR1_int"	"analyte"
"FGFR1OP"	"analyte"
"FGFR2"	"analyte"
"FGFR2_ext"	"analyte"
"FGFR2_int"	"analyte"
"FGFR4_ext"	"analyte"
"FGFR4_int"	"analyte"
"FH"	"analyte"
"FIP1L1"	"analyte"
"FKBP1B"	"analyte"
"FKBP3"	"analyte"
"FKBP5"	"analyte"
"FLCN"	"analyte"
"FLI1"	"analyte"
"FLT1"	"analyte"
"FMNL2"	"analyte"
"FMR1NB"	"analyte"
"FN3K"	"analyte"
"FOLH1"	"analyte"
"FOS"	"analyte"
"FOSL1"	"analyte"
"FOSL2"	"analyte"
"FOXA3"	"analyte"
"FOXI1"	"analyte"
"FOXN2"	"analyte"
"FOXR2"	"analyte"
"FOXS1"	"analyte"
"FRK"	"analyte"
"FSCN1"	"analyte"
"FTH1"	"analyte"
"FTHL17"	"analyte"
"FTSJ3"	"analyte"
"FUS"	"analyte"
"FYN"	"analyte"
"FZD1"	"analyte"
"G6PD"	"analyte"
"GADD45G"	"analyte"
"GAGE1"	"analyte"
"GAGE2"	"analyte"
"GALK1"	"analyte"
"GAPDH"	"analyte"
"GAS2"	"analyte"
"GAS7"	"analyte"
"GATA1"	"analyte"
"GATA3"	"analyte"
"GATAD2A"	"analyte"
"GCLC"	"analyte"
"GDF15"	"analyte"
"GEM"	"analyte"
"GFAP"	"analyte"
"GGPS1"	"analyte"
"GIPC1"	"analyte"
"GK"	"analyte"
"GK2"	"analyte"
"GLRX3"	"analyte"
"GLS2"	"analyte"
"GMEB1"	"analyte"
"GMEB2"	"analyte"
"GMPS"	"analyte"
"GNA15"	"analyte"
"GNAI2"	"analyte"
"GNAI3"	"analyte"
"GNAO1"	"analyte"
"GNAZ"	"analyte"
"GNB1"	"analyte"
"GNB3"	"analyte"
"GNG11"	"analyte"
"GNG2"	"analyte"
"GNG3"	"analyte"
"GNG4"	"analyte"
"GNGT2"	"analyte"
"GOT1"	"analyte"
"GP2"	"analyte"
"GPA33"	"analyte"
"GPAT2"	"analyte"
"GPATCH2"	"analyte"
"GPC3"	"analyte"
"GPHN"	"analyte"
"GPX1"	"analyte"
"GRAP2"	"analyte"
"GRB10"	"analyte"
"GRB2"	"analyte"
"GRB7"	"analyte"
"GRK2"	"analyte"
"GRK3"	"analyte"
"GRK5"	"analyte"
"GRK6"	"analyte"
"GRM3"	"analyte"
"GSK3B"	"analyte"
"GSTT1"	"analyte"
"GTF2A2"	"analyte"
"GTF2B"	"analyte"
"GTF2E2"	"analyte"
"GTF2F1"	"analyte"
"GTF2F2"	"analyte"
"GTF2H1"	"analyte"
"GTF2H2C"	"analyte"
"GTPBP1"	"analyte"
"GUK1"	"analyte"
"H2AFY"	"analyte"
"HAGH"	"analyte"
"HAGHL"	"analyte"
"HAND1"	"analyte"
"HBG1"	"analyte"
"HCFC2"	"analyte"
"HCLS1"	"analyte"
"HDAC1"	"analyte"
"HDAC3"	"analyte"
"HDAC4"	"analyte"
"HES6"	"analyte"
"HEXIM1"	"analyte"
"HEYL"	"analyte"
"HIF1A"	"analyte"
"HIF3A"	"analyte"
"HINFP"	"analyte"
"HIPK1"	"analyte"
"HIPK4"	"analyte"
"HIST1H1C"	"analyte"
"HIST1H4A"	"analyte"
"HK2"	"analyte"
"HLX"	"analyte"
"HMG20B"	"analyte"
"HMGB2"	"analyte"
"HMGN5"	"analyte"
"HNF1B"	"analyte"
"HNRNPA2B1"	"analyte"
"HNRNPUL1"	"analyte"
"HOMER2"	"analyte"
"HOOK1"	"analyte"
"HOPX"	"analyte"
"HORMAD1"	"analyte"
"HOXA1"	"analyte"
"HOXA9"	"analyte"
"HOXB13"	"analyte"
"HOXB6"	"analyte"
"HOXB7"	"analyte"
"HOXC10"	"analyte"
"HOXC8"	"analyte"
"HPCAL1"	"analyte"
"HPRT1"	"analyte"
"HRAS"	"analyte"
"HRH1"	"analyte"
"HRH2"	"analyte"
"HSBP1"	"analyte"
"HSF1"	"analyte"
"HSFY1"	"analyte"
"HSP90AA1"	"analyte"
"HSP90AB1"	"analyte"
"HSPA1A"	"analyte"
"HSPA5"	"analyte"
"HSPB8"	"analyte"
"HSPB9"	"analyte"
"HSPD1"	"analyte"
"HSPE1"	"analyte"
"HTATIP2"	"analyte"
"HTR1D"	"analyte"
"HTR2B"	"analyte"
"HUS1"	"analyte"
