	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
100	Cy5-biotin-BSA high 6th grid	Cy5 BSA 15ng/ul	6	1	3	5826.45	5858.06	0.00	4697.72	4243.70	0.00	1204.90	1744.86	0.00	5751.00	5737.00	0.00	6214.00	5331.00	0.00	1129.45	1623.80	0.00	5751.00	5744.00	5842.26	5858.06	6214.00	5772.50	4470.71	4697.72	1623.80	1376.63	1474.88	1744.86	22.35	9.90	321.04	624.38	381.81	349.56	0.17	0.38	10.82	7.18	25.39	25.89	69.76	1195.00	1338.00	0.00	1266.50	101.12	86.59	96.96	0.00	91.78	7.33	13.41	3.04	100.00	38.82	6962609.00	7838087.00	0.00	7400348.00	680.53	911.88	0.00	2115.79	2560.24	<NO DATA>	1558.68	3488.70	3086.16	0.00	2	2	0	0	0	2	0	0	2	0	0	2	0	0	0	0
101	antigen 019	GAGE4	6	1	4	583.27	753.23	1036.34	308.02	459.06	694.25	287.32	299.47	346.69	580.00	718.00	984.00	294.00	422.00	682.00	284.05	264.24	294.35	718.00	760.67	790.95	753.23	422.00	466.00	487.11	459.06	284.05	280.88	311.16	299.47	228.88	205.35	194.64	197.71	31.36	15.30	27.00	28.94	42.43	39.96	5.45	10.08	324.95	496.00	633.00	661.00	596.67	88.30	35.94	45.87	47.90	43.24	6.40	64.06	54.13	52.10	56.76	289300.00	476795.00	685020.00	483705.00	348.79	89.34	931.89	408.59	2121.77	245.91	925.42	98.16	109.45	112.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	antigen 023	GRWD1	6	1	5	647.23	759.62	1006.61	346.34	422.43	654.77	310.78	340.05	358.67	613.00	727.00	995.00	289.00	412.00	599.00	276.55	307.43	347.07	727.00	778.33	804.48	759.62	412.00	433.33	474.51	422.43	307.43	310.35	336.50	340.05	183.84	196.11	160.68	156.10	24.14	35.35	25.20	22.85	36.02	33.86	11.39	7.18	371.15	660.00	1038.00	887.00	861.67	190.27	47.83	75.22	64.28	62.44	13.79	52.17	24.78	35.72	37.56	427169.00	788485.00	892860.00	702838.00	201.16	85.66	193.60	1019.63	4120.64	1643.29	2261.19	124.49	65.58	127.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	antigen 027	LIP1	6	1	6	521.44	757.46	1130.67	298.03	486.12	779.32	227.55	279.17	358.86	514.00	715.00	1059.00	289.00	487.00	787.00	220.11	236.71	287.19	715.00	762.67	803.19	757.46	487.00	521.00	521.16	486.12	236.71	248.00	288.53	279.17	307.18	275.61	242.55	250.73	66.15	34.94	36.14	38.24	48.13	46.54	14.09	22.93	282.19	449.00	432.00	306.00	395.67	78.12	32.54	31.30	22.17	28.67	5.66	67.46	68.70	77.83	71.33	234127.00	327224.00	345984.00	302445.00	26.01	252.54	258.28	3928.51	477.56	425.15	1610.41	56.49	102.81	162.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	antigen 047	p53	6	1	7	1308.00	783.59	1164.10	299.85	490.06	830.18	1024.20	302.61	362.58	738.00	708.00	1116.00	289.00	492.00	785.00	454.20	227.03	314.48	738.00	854.00	1085.23	1164.10	492.00	522.00	540.03	490.06	314.48	331.90	563.13	362.58	270.96	227.39	268.67	249.36	400.42	114.58	26.63	24.97	47.77	49.75	34.52	71.11	563.23	8.00	145.00	262.00	138.33	127.13	0.58	10.51	18.99	10.02	9.21	99.42	89.49	81.01	89.98	10464.00	113620.00	304994.00	143026.00	1326.84	298.77	311.26	6.18	146.86	305.20	152.75	176.70	142.03	304.03	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
105	antigen 123	NY-ESO-1 ORF2	6	1	8	1242.33	1139.69	1039.69	333.04	536.65	756.75	927.40	605.10	286.64	541.00	785.00	995.00	297.00	504.00	705.00	226.07	250.40	241.96	785.00	773.67	1140.57	1139.69	504.00	502.00	542.15	536.65	241.96	239.48	606.38	605.10	101.33	227.21	211.91	204.01	320.38	12.35	29.37	8.88	40.64	39.09	5.16	52.83	638.57	18.00	36.00	48.00	34.00	15.10	1.30	2.61	3.48	2.46	1.09	98.70	97.39	96.52	97.54	22362.00	41029.00	49905.00	37765.33	2226.19	1765.88	126.50	7.50	12.34	108.77	42.87	148.26	99.11	109.14	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
106	antigen 051	SGY-1	6	2	1	1704.50	877.39	859.38	304.86	423.69	592.48	1401.24	455.05	272.71	1484.00	684.00	809.00	294.00	403.00	589.00	1180.74	261.66	222.34	809.00	992.33	1147.09	877.39	403.00	428.67	440.34	423.69	261.66	554.91	709.67	455.05	482.82	430.36	144.53	149.17	605.82	542.34	43.37	42.09	34.80	32.82	97.73	85.37	718.42	4.00	23.00	53.00	26.67	24.70	0.29	1.67	3.84	1.93	1.79	99.71	98.33	96.16	98.07	6818.00	20180.00	45547.00	24181.67	1214.56	637.07	175.56	4.61	16.43	82.33	34.46	45.25	56.14	103.52	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
107	antigen 055	SPANXB1	6	2	2	0.00	986.00	982.32	300.59	480.20	627.54	0.00	507.92	364.72	0.00	760.00	872.00	294.00	489.00	597.00	0.00	281.92	254.40	760.00	544.00	656.11	982.32	489.00	460.00	469.44	480.20	254.40	178.77	290.88	364.72	568.21	474.43	163.74	153.57	261.89	155.43	87.21	86.60	33.38	34.88	86.94	90.03	196.11	0.00	5.00	56.00	20.33	30.99	0.00	0.36	4.06	1.47	2.25	100.00	99.64	95.94	98.53	0.00	4930.00	55010.00	19980.00	0.00	490.91	754.62	<NO DATA>	5.17	27.07	10.75	34.61	68.61	125.98	0	0	0	3	3	3	1	0	0	3	0	0	0	0	3	3
108	antigen 059	SSX1	6	2	3	747.39	950.85	896.64	345.63	600.32	645.33	418.15	384.62	272.62	621.00	826.00	891.00	305.00	527.00	597.00	291.77	259.78	266.98	826.00	779.33	864.96	896.64	527.00	476.33	530.43	600.32	266.98	272.84	358.47	384.62	105.36	140.92	161.61	152.45	76.21	16.78	18.08	12.18	32.01	30.47	6.15	21.26	388.62	160.00	228.00	214.00	200.67	35.91	11.59	16.52	15.51	14.54	2.60	88.41	83.48	84.49	85.46	119582.00	216793.00	191881.00	176085.33	395.19	478.46	72.03	169.30	183.28	810.01	387.53	148.72	239.85	187.28	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
109	antigen 079	MAPK1	6	2	4	847.99	1107.87	1252.67	528.13	784.45	887.59	338.54	341.01	404.88	821.00	1068.00	1185.00	411.00	716.00	823.00	311.55	301.14	337.21	1068.00	1024.67	1069.51	1107.87	716.00	650.00	733.39	784.45	311.55	316.63	361.48	341.01	205.05	185.83	185.09	213.78	37.61	18.57	18.14	19.17	32.89	25.24	5.86	10.40	419.51	620.00	517.00	539.00	558.67	54.24	44.93	37.46	39.06	40.48	3.93	55.07	62.54	60.94	59.52	525755.00	572771.00	675191.00	591239.00	89.70	167.28	673.08	2340.06	1053.91	324.23	1239.40	264.04	295.19	445.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	antigen 083	SRC	6	2	5	594.96	947.00	938.08	335.67	623.84	647.06	264.06	329.01	300.64	587.00	909.00	914.00	319.00	605.00	611.00	256.09	291.02	276.56	909.00	803.33	826.68	938.08	605.00	511.67	535.52	623.84	276.56	274.56	297.90	300.64	200.72	187.37	173.47	166.88	32.56	17.55	23.32	24.28	32.62	32.39	6.39	10.93	315.01	209.00	267.00	186.00	220.67	41.74	15.14	19.35	13.48	15.99	3.02	84.86	80.65	86.52	84.01	124347.00	252848.00	174483.00	183892.67	51.52	165.50	130.36	1071.29	530.78	428.96	677.01	48.88	134.76	154.84	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
111	antigen 087	CTNNB1	6	2	6	710.77	1156.66	1212.01	342.78	717.13	741.19	370.87	442.05	489.07	616.00	992.00	1065.00	330.00	697.00	712.00	276.09	277.39	342.06	992.00	891.00	1026.48	1156.66	697.00	579.67	600.37	717.13	277.39	298.52	434.00	442.05	274.81	240.94	223.40	216.35	59.51	37.72	27.04	26.77	37.32	37.21	12.63	13.71	446.81	789.00	311.00	416.00	505.33	251.21	57.17	22.54	30.14	36.62	18.20	42.83	77.46	69.86	63.38	560800.00	359720.00	504195.00	474905.00	1550.90	2131.53	724.86	188.67	64.50	280.68	177.95	50.59	145.48	173.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	antigen 091	P53 T18A	6	2	7	689.31	1124.64	1013.24	412.67	739.78	617.60	288.07	406.50	416.22	657.00	1023.00	897.00	393.00	684.00	596.00	255.77	304.86	299.98	897.00	859.00	942.40	1013.24	596.00	557.67	590.02	617.60	299.98	286.87	370.26	406.50	226.15	185.94	165.29	149.24	71.34	27.04	21.65	24.00	26.76	28.01	9.43	19.27	384.73	552.00	452.00	366.00	456.67	93.09	40.00	32.75	26.52	33.09	6.75	60.00	67.25	73.48	66.91	380498.00	508338.00	370847.00	419894.33	304.45	576.59	549.27	522.30	318.66	277.34	372.77	132.66	226.20	246.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	antigen 099	cytochrome P450 reductase	6	7	1	896.80	775.50	771.91	550.09	500.73	491.45	359.53	280.40	289.96	815.00	742.00	708.00	502.00	490.00	486.00	277.73	246.91	226.05	742.00	755.00	814.74	775.50	490.00	492.67	514.09	500.73	246.91	250.23	309.97	289.96	71.09	54.67	31.52	8.33	43.19	26.00	7.24	8.73	1.69	6.13	10.39	13.93	322.07	177.00	311.00	172.00	220.00	78.85	12.83	22.54	12.46	15.94	5.71	87.17	77.46	87.54	84.06	158733.00	241180.00	132769.00	177560.67	407.64	128.09	448.97	156.11	680.82	111.08	316.00	141.50	85.45	113.38	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
114	antigen 115	POU5F1/OCT3/OCT4A var. 1	6	8	1	1238.06	1035.45	1109.31	567.71	559.99	634.07	681.25	493.22	500.58	876.00	981.00	1075.00	516.00	509.00	591.00	319.20	438.77	466.27	981.00	977.33	1127.61	1109.31	516.00	538.67	587.25	567.71	438.77	408.08	558.35	500.58	102.53	99.55	40.73	45.46	106.50	78.19	10.19	9.09	8.44	6.93	19.16	19.07	588.94	36.00	536.00	775.00	449.00	377.10	2.61	38.84	56.16	32.54	27.33	97.39	61.16	43.84	67.46	44570.00	555003.00	859716.00	486429.67	1923.68	274.56	263.95	12.75	962.88	1469.79	815.14	139.20	188.03	243.97	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
115	antigen 119	DPPA3	6	8	2	1355.91	1153.49	1153.81	664.16	618.02	652.54	727.06	563.00	518.21	1111.00	1068.00	1096.00	615.00	577.00	598.00	482.15	477.51	460.39	1096.00	1091.67	1221.07	1153.81	598.00	596.67	644.91	652.54	477.51	473.35	602.76	563.00	116.78	21.83	23.99	19.04	109.96	11.46	2.00	9.56	3.19	3.72	2.42	18.24	624.41	360.00	640.00	776.00	592.00	212.11	26.09	46.38	56.23	42.90	15.37	73.91	53.62	43.77	57.10	488129.00	738233.00	895359.00	707240.33	641.98	467.55	495.79	407.71	770.65	811.09	663.15	285.11	243.68	245.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	Cy5-biotin-BSA low 7th grid	Cy5 BSA 5ng/ul	7	1	1	1814.70	1879.41	2684.01	1239.51	1369.70	1647.38	608.81	554.24	1111.71	1762.00	1812.00	2153.00	1598.00	1528.00	1729.00	556.12	486.83	580.70	1812.00	1909.00	2126.04	1879.41	1598.00	1618.33	1418.86	1369.70	556.12	541.21	758.26	608.81	484.30	212.78	208.33	102.03	307.32	48.68	11.15	22.78	6.30	14.68	8.99	40.53	507.71	921.00	883.00	879.00	894.33	23.18	66.74	63.99	63.70	64.81	1.68	33.26	36.01	36.30	35.19	1671335.00	1659521.00	2359249.00	1896701.67	459.85	302.28	3765.03	1219.34	1619.00	259.55	1032.63	878.20	825.94	1020.28	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
117	Cy5-biotin-BSA med 7th grid	Cy5 BSA 10ng/ul	7	1	2	2269.72	2460.83	2697.91	1442.17	1705.18	2053.76	874.64	786.63	681.44	2199.00	2364.00	2622.00	1785.00	2041.00	2288.00	803.91	689.81	605.53	2364.00	2395.00	2476.15	2460.83	2041.00	2038.00	1733.70	1705.18	689.81	699.75	780.90	786.63	214.51	213.20	306.79	251.51	96.72	99.56	8.90	8.66	12.34	17.70	14.23	12.39	438.15	1260.00	1106.00	1055.00	1140.33	106.73	91.30	80.14	76.45	82.63	7.73	8.70	19.86	23.55	17.37	2859849.00	2721673.00	2846295.00	2809272.33	439.51	507.99	389.05	2507.44	1712.66	1847.88	2022.66	1048.38	994.60	1083.90	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
118	Cy5-biotin-BSA high 7th grid	Cy5 BSA 15ng/ul	7	1	3	6346.18	6261.69	7044.20	5035.24	4965.20	6168.47	1344.61	1416.82	874.62	6045.00	5955.00	6730.00	5702.00	5407.00	6443.00	1043.43	1110.13	560.42	6045.00	6243.33	6550.69	6346.18	5702.00	5850.67	5389.64	5035.24	1043.43	904.66	1212.02	1344.61	429.47	423.86	675.39	533.76	294.42	299.98	6.79	6.56	9.12	12.53	33.16	24.29	700.02	1004.00	1101.00	350.00	818.33	408.48	72.75	79.78	25.36	59.30	29.60	27.25	20.22	74.64	40.70	6371566.00	6894124.00	2465469.00	5243719.67	1172.69	1240.97	786.20	1151.20	1257.01	389.36	932.52	2924.20	3104.09	2507.21	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
119	antigen 018	GAGE2A	7	1	4	833.33	846.44	1078.33	303.70	562.93	814.55	531.85	286.14	267.99	700.00	782.00	1037.00	299.00	586.00	787.00	398.52	221.69	226.66	782.00	839.67	919.37	846.44	586.00	557.33	560.39	562.93	226.66	282.29	361.99	286.14	137.82	175.75	255.43	245.26	147.38	100.69	20.93	14.99	44.01	45.58	35.67	40.71	362.04	3.00	9.00	112.00	41.33	61.27	0.22	0.65	8.12	3.00	4.44	99.78	99.35	91.88	97.00	2500.00	7618.00	120773.00	43630.33	331.74	102.85	148.79	4.81	25.04	201.73	77.19	25.78	93.86	121.68	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
120	antigen 022	GAGE7	7	1	5	895.95	1062.69	1165.68	354.84	580.08	853.65	544.25	487.26	314.63	581.00	814.00	1138.00	317.00	581.00	821.00	229.30	238.57	286.94	814.00	844.33	1041.44	1062.69	581.00	573.00	596.19	580.08	238.57	251.60	448.71	487.26	136.12	279.74	249.79	252.10	119.57	30.95	33.13	13.07	44.00	41.90	12.30	26.65	468.44	84.00	232.00	272.00	196.00	99.04	6.09	16.81	19.71	14.20	7.18	93.91	83.19	80.29	85.80	75260.00	246544.00	317066.00	212956.67	2364.42	876.63	131.34	19.34	128.95	651.56	266.61	75.26	113.42	155.83	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
121	antigen 026	LEMD1	7	1	6	696.91	1021.56	1184.64	425.07	680.67	869.07	290.64	368.71	321.25	637.00	934.00	1150.00	326.00	642.00	858.00	230.72	281.15	286.61	934.00	907.00	967.71	1021.56	642.00	608.67	658.27	680.67	281.15	266.16	326.87	321.25	248.29	257.56	222.85	267.56	39.34	30.81	28.40	25.66	43.96	33.85	11.58	12.03	359.04	497.00	321.00	366.00	394.67	91.43	36.01	23.26	26.52	28.60	6.63	63.99	76.74	73.48	71.40	346366.00	327921.00	433580.00	369289.00	355.10	826.63	163.25	406.78	143.18	720.26	423.41	188.77	421.90	175.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	antigen 046	OIP5	7	1	7	640.29	965.36	1288.90	401.22	648.78	867.14	243.78	325.85	421.60	622.00	929.00	1182.00	398.00	615.00	886.00	225.50	289.49	314.70	929.00	911.00	964.85	965.36	615.00	633.00	639.05	648.78	289.49	276.56	330.41	325.85	324.31	280.43	233.11	244.50	89.00	45.98	30.78	33.61	38.63	36.48	16.63	26.94	331.85	343.00	164.00	510.00	339.00	173.03	24.86	11.88	36.96	24.57	12.54	75.14	88.12	63.04	75.43	219618.00	158319.00	657341.00	345092.67	65.37	191.58	1384.47	1279.13	278.95	155.30	571.13	106.32	128.33	186.32	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
123	antigen 122	CAMEL	7	1	8	3167.17	869.31	1163.59	388.35	636.78	939.08	2786.92	274.71	265.61	794.00	814.00	1145.00	388.00	595.00	889.00	413.75	219.40	247.02	814.00	917.67	1733.36	1163.59	595.00	624.00	654.74	636.78	247.02	293.39	1109.08	274.71	1250.41	197.13	275.80	251.76	1453.06	105.15	21.48	72.14	40.35	42.12	35.84	131.01	1109.36	29.00	29.00	248.00	102.00	126.44	2.10	2.10	17.97	7.39	9.16	97.90	97.90	82.03	92.61	91848.00	25210.00	288570.00	135209.33	8455.30	101.94	66.03	9.56	78.15	997.54	361.75	108.97	263.12	287.03	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
124	antigen 050	ROPN1	7	2	1	1096.04	1072.41	964.58	495.05	771.90	720.89	648.64	303.26	261.01	755.00	1035.00	939.00	406.00	772.00	683.00	307.61	265.85	235.43	939.00	909.67	1044.34	1072.41	683.00	620.33	662.61	720.89	265.85	269.63	404.30	303.26	70.08	142.29	147.34	190.88	212.66	36.23	15.64	6.71	30.77	22.24	13.44	52.60	424.01	51.00	234.00	199.00	161.33	97.14	3.70	16.96	14.42	11.69	7.04	96.30	83.04	85.58	88.31	55898.00	250943.00	191951.00	166264.00	1638.88	263.91	108.48	20.19	268.89	478.80	255.96	384.18	149.07	223.04	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
125	antigen 054	SPANXA1	7	2	2	736.71	1264.77	965.80	366.25	811.63	679.20	372.70	470.29	302.72	591.00	1036.00	922.00	381.00	781.00	629.00	226.99	241.52	258.92	922.00	849.67	989.09	965.80	629.00	597.00	619.02	679.20	241.52	242.48	381.90	372.70	264.80	231.15	228.71	201.91	84.16	15.98	27.20	26.77	33.82	36.95	6.59	22.04	392.09	24.00	237.00	127.00	129.33	106.52	1.74	17.17	9.20	9.37	7.72	98.26	82.83	90.80	90.63	17681.00	299750.00	122657.00	146696.00	272.68	2818.86	118.75	32.80	39.54	323.76	132.03	65.71	325.27	234.13	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
126	antigen 058	SPO11	7	2	3	631.98	1084.95	967.31	405.75	779.54	700.21	231.72	313.50	289.80	612.00	1030.00	946.00	399.00	775.00	685.00	211.74	258.55	268.49	946.00	862.67	894.75	967.31	685.00	619.67	628.50	700.21	258.55	246.26	278.34	289.80	235.04	221.11	196.94	196.33	42.08	30.31	25.63	26.27	31.68	31.34	12.31	15.12	275.08	84.00	317.00	256.00	219.00	120.83	6.09	22.97	18.55	15.87	8.76	93.91	77.03	81.45	84.13	53086.00	343928.00	247632.00	214882.00	70.58	157.27	80.88	275.77	631.90	917.24	608.30	84.12	167.75	317.94	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
127	antigen 078	FGFR2	7	2	4	852.24	1288.38	1202.46	550.03	947.60	835.10	306.74	362.46	375.20	820.00	1229.00	1201.00	509.00	878.00	779.00	274.50	303.08	373.74	1201.00	1083.33	1114.36	1202.46	779.00	722.00	777.58	835.10	303.08	317.11	348.13	362.46	231.03	228.48	204.93	190.99	36.41	51.08	21.09	20.73	26.45	26.36	16.11	10.46	392.36	481.00	434.00	461.00	458.67	23.59	34.86	31.45	33.41	33.24	1.71	65.14	68.55	66.59	66.76	409928.00	559157.00	554335.00	507806.67	77.33	256.62	179.51	1907.86	612.99	963.57	1161.48	194.55	327.75	242.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	antigen 082	RAF	7	2	5	731.63	1146.69	1034.70	474.40	823.83	743.61	278.19	330.64	298.69	717.00	1126.00	1031.00	468.00	791.00	695.00	263.56	309.95	294.99	1031.00	958.00	971.01	1034.70	695.00	651.33	680.62	743.61	294.99	289.50	302.51	298.69	214.74	214.05	183.04	165.87	26.43	23.68	22.34	22.11	25.47	26.89	8.18	8.74	319.67	162.00	272.00	231.00	221.67	55.59	11.74	19.71	16.74	16.06	4.03	88.26	80.29	83.26	83.94	118524.00	311900.00	239016.00	223146.67	88.57	135.84	91.25	508.85	662.06	756.15	642.35	310.08	158.87	162.01	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
129	antigen 086	CREB1	7	2	6	760.96	1110.54	1115.21	469.34	796.63	789.91	296.89	320.94	332.66	690.00	1103.00	1076.00	475.00	787.00	747.00	225.93	313.40	293.45	1076.00	956.33	995.57	1110.54	747.00	669.67	685.29	789.91	293.45	277.59	316.83	320.94	203.19	231.05	187.05	169.77	18.24	45.84	24.16	20.41	25.35	27.29	16.51	5.76	325.90	51.00	226.00	312.00	196.33	133.01	3.70	16.38	22.61	14.23	9.64	96.30	83.62	77.39	85.77	38809.00	250982.00	347945.00	212578.67	327.99	178.37	142.18	46.16	406.64	729.98	394.26	119.87	163.92	204.03	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
130	antigen 090	p53 S15A	7	2	7	860.32	1303.14	1970.51	587.86	929.82	601.31	284.68	390.56	1394.28	829.00	1205.00	866.00	524.00	902.00	521.00	253.37	292.43	289.77	866.00	966.67	1377.99	1303.14	524.00	649.00	706.33	601.31	289.77	278.52	689.84	390.56	558.87	207.23	193.67	219.11	612.35	21.83	21.44	40.56	33.76	27.42	7.84	88.77	728.99	428.00	233.00	365.00	342.00	99.51	31.01	16.88	26.45	24.78	7.21	68.99	83.12	73.55	75.22	368216.00	303631.00	719235.00	463694.00	124.70	626.13	5191.72	977.09	145.34	98.02	406.82	219.31	263.03	243.31	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
131	antigen 098	cytochrome P450 3A4	7	7	1	816.52	924.71	1537.37	580.48	576.04	993.68	306.57	366.64	577.06	749.00	843.00	1459.00	488.00	500.00	830.00	239.05	284.93	498.70	843.00	1017.00	1092.86	924.71	500.00	606.00	716.73	580.48	284.93	340.89	416.76	366.64	388.73	385.66	239.85	194.08	142.04	138.58	37.92	35.57	32.03	33.46	40.65	34.08	486.86	287.00	337.00	715.00	446.33	234.01	20.80	24.42	51.81	32.34	16.96	79.20	75.58	48.19	67.66	234341.00	311626.00	1099216.00	548394.33	205.42	446.88	335.24	428.31	276.49	1230.75	645.18	1022.60	199.43	429.07	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	antigen 114	CEACAM 1 isoform 1	7	8	1	1367.93	1502.86	939.81	822.38	946.39	530.11	573.07	694.29	415.53	1307.00	1279.00	852.00	712.00	735.00	529.00	512.14	470.43	327.73	1279.00	1146.00	1270.20	1367.93	712.00	658.67	766.30	822.38	470.43	436.76	560.96	573.07	293.97	255.00	213.73	112.88	139.77	96.70	22.25	23.14	17.14	27.89	22.14	24.92	611.53	645.00	495.00	247.00	462.33	201.00	46.74	35.87	17.90	33.50	14.57	53.26	64.13	82.10	66.50	882315.00	743916.00	232132.00	619454.33	357.05	1834.06	358.64	1035.22	187.38	286.18	502.93	394.24	1374.64	128.75	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
133	antigen 118	DPPA4	7	8	2	1688.01	1427.64	848.70	1034.05	764.86	516.50	673.22	690.65	354.89	1531.00	1219.00	803.00	953.00	621.00	492.00	516.20	482.01	309.19	1219.00	1184.33	1321.45	1427.64	621.00	688.67	771.80	764.86	482.01	435.80	572.92	673.22	429.61	365.24	258.85	237.83	189.02	110.97	30.84	32.51	34.54	33.54	25.46	32.99	632.79	494.00	473.00	396.00	454.33	51.60	35.80	34.28	28.70	32.92	3.74	64.20	65.72	71.30	67.08	833878.00	675276.00	336086.00	615080.00	629.01	1791.48	257.39	528.72	182.35	546.01	419.03	476.76	366.80	196.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	Cy5-biotin-BSA low 8th grid	Cy5 BSA 5ng/ul	8	1	1	2028.20	2245.77	2643.27	1403.27	1671.98	2023.20	656.50	602.21	642.79	1908.00	2155.00	2539.00	1451.00	1741.00	2148.00	536.30	511.44	538.52	2155.00	2200.67	2305.75	2245.77	1741.00	1780.00	1699.48	1671.98	536.30	528.75	633.83	642.79	311.89	317.97	310.88	350.13	28.23	15.03	14.45	13.53	19.67	18.29	2.84	4.45	525.75	960.00	837.00	769.00	855.33	96.81	69.57	60.65	55.72	61.98	7.02	30.43	39.35	44.28	38.02	1947073.00	1879709.00	2032675.00	1953152.33	431.90	371.74	413.61	1459.22	1355.91	1195.09	1336.74	883.90	865.01	846.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
