	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
90	antigen 060	SSX2A	5	2	3	609.11	974.66	1428.45	319.55	415.41	383.99	293.49	613.96	1063.94	586.00	603.00	650.00	308.00	323.00	367.00	270.38	242.30	285.49	603.00	613.00	1004.07	974.66	323.00	332.67	372.98	383.99	270.38	266.06	657.13	613.96	410.46	33.15	48.87	30.66	387.04	21.91	5.41	40.88	9.22	13.10	8.24	58.90	671.41	234.00	235.00	44.00	171.00	109.99	16.96	17.03	3.19	12.39	7.97	83.04	82.97	96.81	87.61	142532.00	229044.00	62852.00	144809.33	105.63	794.66	2672.40	650.17	181.56	17.52	283.08	47.95	326.70	131.70	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
91	antigen 080	MAPK3	5	2	4	1237.43	2202.91	2366.26	270.00	538.15	795.50	969.92	1852.40	1676.22	939.00	1275.00	1946.00	275.00	329.00	503.00	671.49	924.48	1255.96	1275.00	1386.67	1935.53	2202.91	329.00	369.00	534.55	538.15	924.48	950.65	1499.51	1676.22	610.07	512.70	262.77	119.15	467.03	293.12	36.97	31.52	32.29	49.16	30.83	31.15	1566.53	14.00	46.00	243.00	101.00	124.01	1.01	3.33	17.61	7.32	8.99	98.99	96.67	82.39	92.68	17324.00	101334.00	575001.00	231219.67	1001.25	3602.27	1457.24	13.56	23.65	279.52	105.58	37.31	1398.11	740.70	0	3	0	3	3	3	0	0	0	0	0	0	0	0	3	3
92	antigen 084	CALM1	5	2	5	1143.00	788.99	1768.58	344.09	430.70	816.54	800.63	379.19	1080.44	831.00	668.00	1396.00	371.00	406.00	589.00	488.63	258.20	707.86	831.00	965.00	1233.52	1143.00	406.00	455.33	530.44	430.70	488.63	484.90	753.42	800.63	496.03	382.05	251.52	117.07	353.00	224.85	39.59	40.21	25.71	47.42	46.37	46.85	778.19	5.00	76.00	221.00	100.67	110.09	0.36	5.51	16.01	7.29	7.98	99.64	94.49	83.99	92.71	5715.00	59963.00	390857.00	152178.33	709.92	320.41	939.03	5.64	89.94	254.28	116.62	91.91	150.13	764.62	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
93	antigen 088	p53 S6A	5	2	6	676.58	722.44	986.74	405.73	583.15	662.33	304.43	248.78	388.30	610.00	697.00	827.00	290.00	409.00	583.00	237.86	223.35	228.55	697.00	711.33	795.25	722.44	409.00	427.33	550.40	583.15	228.55	229.92	313.84	304.43	167.41	109.21	131.40	147.36	70.23	7.35	15.35	21.05	34.48	23.87	3.20	22.38	367.92	344.00	225.00	282.00	283.67	59.52	24.93	16.30	20.43	20.56	4.31	75.07	83.70	79.57	79.44	232743.00	162548.00	278262.00	224517.67	183.81	158.84	463.36	569.76	352.40	236.32	386.16	245.30	687.45	763.18	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
94	antigen 092	p53 Q136x	5	2	7	11579.00	653.90	914.60	292.97	404.58	386.88	11310.95	274.92	530.96	11579.00	592.00	693.00	272.00	381.00	383.00	11310.95	213.02	309.36	693.00	4288.00	4382.50	914.60	381.00	345.33	361.48	386.88	309.36	3944.44	4038.94	530.96	6233.71	6314.39	59.99	63.52	6299.04	6379.76	147.26	142.24	18.39	16.59	161.74	155.96	4037.17	1.00	10.00	5.00	5.33	4.51	0.07	0.72	0.36	0.39	0.33	99.93	99.28	99.64	99.61	11579.00	6539.00	4573.00	7563.67	0.00	95.70	472.60	<NO DATA>	28.73	5.62	11.45	427.28	158.77	73.86	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
95	antigen 100	EGFR	5	7	1	1231.31	2014.00	2759.58	1272.47	380.68	1110.00	784.94	1635.50	1814.59	737.00	1316.00	1962.00	402.00	386.00	619.00	290.63	937.50	1017.01	1316.00	1338.33	2001.63	2014.00	402.00	469.00	921.05	1110.00	937.50	748.38	1411.68	1635.50	764.21	612.81	474.97	130.15	550.11	398.41	45.79	38.18	27.75	51.57	53.24	38.97	1532.63	375.00	10.00	507.00	297.33	257.44	27.17	0.72	36.74	21.55	18.66	72.83	99.28	63.26	78.45	461742.00	20140.00	1399108.00	626996.67	2025.20	1753.23	2633.22	145.34	9.33	349.38	168.02	6818.72	45.90	1131.03	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0
96	antigen 116	NANOG	5	8	1	2554.59	2402.63	2392.43	607.23	389.31	484.06	2104.22	2025.78	1923.07	1294.00	600.00	1133.00	404.00	389.00	472.00	843.62	223.14	663.64	1133.00	1009.00	2449.89	2402.63	404.00	421.67	493.54	484.06	663.64	576.80	2017.69	2025.78	90.82	363.24	109.27	44.23	90.84	319.23	36.00	3.71	10.49	22.14	55.34	4.50	2028.22	106.00	63.00	154.00	107.67	45.52	7.68	4.57	11.16	7.80	3.30	92.32	95.43	88.84	92.20	270787.00	151366.00	368434.00	263529.00	6564.71	5810.52	6976.30	33.98	21.96	42.45	32.80	1590.16	127.58	178.47	3	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
97	antigen 120	GDF3	5	8	2	5112.53	1592.23	2090.00	452.09	481.50	754.61	4716.67	1115.66	1468.88	914.00	731.00	1630.00	402.00	487.00	527.00	518.14	254.43	1008.89	914.00	1091.67	2931.59	2090.00	487.00	472.00	562.73	481.50	518.14	593.82	2433.74	1468.88	1905.08	475.10	166.82	63.84	1984.95	382.88	43.52	64.98	13.52	29.64	64.48	81.56	2459.59	83.00	138.00	445.00	222.00	195.07	6.01	10.00	32.25	16.09	14.14	93.99	90.00	67.75	83.91	424340.00	219728.00	930048.00	524705.33	12410.31	4926.83	1363.00	31.54	31.25	479.57	180.79	524.74	132.62	811.24	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
98	Cy5-biotin-BSA low 6th grid	Cy5 BSA 5ng/ul	6	1	1	2810.57	3129.53	0.00	2410.84	2699.98	0.00	434.96	452.35	0.00	2732.00	3101.00	0.00	2321.00	2656.00	0.00	356.38	423.81	0.00	3101.00	2916.50	2970.05	3129.53	2656.00	2488.50	2555.41	2699.98	423.81	390.10	443.65	452.35	225.54	260.92	204.46	236.88	12.30	47.68	8.95	7.59	9.52	8.00	12.22	2.77	481.55	40.00	15.00	0.00	27.50	17.68	2.90	1.09	0.00	1.99	1.28	97.10	98.91	100.00	98.67	112423.00	46943.00	0.00	79683.00	249.89	205.70	0.00	69.62	32.99	<NO DATA>	34.20	428.99	412.84	0.00	0	0	0	2	2	2	0	0	2	0	0	2	0	0	2	2
99	Cy5-biotin-BSA med 6th grid	Cy5 BSA 10ng/ul	6	1	2	958.59	1437.35	0.00	675.91	1095.90	0.00	284.71	348.99	0.00	935.00	1398.00	0.00	699.00	1095.00	0.00	261.13	309.64	0.00	1398.00	1166.50	1197.97	1437.35	1095.00	897.00	885.91	1095.90	309.64	285.38	316.85	348.99	338.54	327.39	296.98	280.01	45.45	34.30	28.07	28.26	31.22	33.52	12.02	14.34	300.97	41.00	381.00	0.00	211.00	240.42	2.97	27.61	0.00	15.29	17.42	97.03	72.39	100.00	89.81	39302.00	547630.00	0.00	293466.00	90.92	152.17	0.00	128.39	873.79	<NO DATA>	334.06	232.03	323.45	0.00	0	0	0	2	0	2	0	0	2	0	0	2	0	0	2	2
