	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
128	antigen 046	OIP5	7	1	7	1019.38	970.26	1234.75	434.35	448.69	598.41	603.61	547.98	716.35	744.00	805.00	902.00	391.00	380.00	502.00	328.24	382.71	383.61	805.00	817.00	1074.79	1019.38	391.00	424.33	493.82	448.69	382.71	364.85	622.65	603.61	140.68	79.68	90.87	67.49	85.79	31.71	9.75	13.09	15.90	18.40	8.69	13.78	650.46	306.00	465.00	459.00	410.00	90.12	22.17	33.70	33.26	29.71	6.53	77.83	66.30	66.74	70.29	311929.00	451172.00	566748.00	443283.00	2507.50	1881.06	2651.63	73.66	135.46	124.00	111.04	205.57	258.17	1171.67	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
129	antigen 122	CAMEL	7	1	8	4278.23	3019.95	3193.09	1422.00	1127.48	1332.25	3000.65	2000.58	1967.03	4485.00	3146.00	3253.00	394.00	414.00	509.00	3207.42	2126.63	2026.94	3253.00	3628.00	3497.09	3193.09	414.00	439.00	1293.91	1332.25	2126.63	2453.66	2322.75	2000.58	682.01	744.11	150.96	61.44	587.32	654.67	20.51	19.50	14.00	11.67	26.68	25.29	3058.09	141.00	124.00	204.00	156.33	42.15	10.22	8.99	14.78	11.33	3.05	89.78	91.01	85.22	88.67	603231.00	374474.00	651390.00	543031.67	1074.48	723.14	589.63	393.76	343.05	680.56	472.46	1858.73	1315.84	1486.53	3	3	3	3	3	3	0	0	0	0	0	0	0	0	3	3
130	antigen 050	ROPN1	7	2	1	2066.37	2639.64	874.72	978.08	1219.99	365.69	1149.26	1480.17	531.87	2144.00	2433.00	731.00	532.00	619.00	298.00	1226.89	1273.53	388.14	2144.00	1769.33	1860.24	2066.37	532.00	483.00	854.59	978.08	1226.89	962.85	1053.76	1149.26	900.33	910.76	440.34	166.02	481.31	498.26	51.47	48.40	34.37	51.53	51.75	45.68	1377.24	242.00	370.00	61.00	224.33	155.26	17.54	26.81	4.42	16.26	11.25	82.46	73.19	95.58	83.74	500061.00	976668.00	53358.00	510029.00	561.75	3167.37	543.60	495.09	172.91	59.68	242.56	883.35	1120.30	180.40	0	3	0	3	0	3	0	0	0	0	0	0	0	0	3	3
131	antigen 054	SPANXA1	7	2	2	688.04	772.50	665.26	332.66	293.20	377.92	370.21	490.83	332.32	608.00	608.00	621.00	293.00	287.00	302.00	290.17	326.33	288.06	608.00	612.33	708.60	688.04	293.00	294.00	334.59	332.66	290.17	301.52	397.79	370.21	56.50	7.51	42.39	7.55	82.77	21.51	1.23	7.97	2.57	12.67	7.13	20.81	414.60	70.00	16.00	72.00	52.67	31.77	5.07	1.16	5.22	3.82	2.30	94.93	98.84	94.78	96.18	48163.00	12360.00	47899.00	36140.67	488.98	366.49	138.73	53.00	21.43	172.47	82.30	145.73	104.37	357.67	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
132	antigen 058	SPO11	7	2	3	948.38	704.49	746.08	464.30	380.72	424.71	533.75	353.28	362.18	769.00	629.00	708.00	325.00	296.00	339.00	354.37	277.79	324.10	708.00	702.00	799.65	746.08	325.00	320.00	423.24	424.71	324.10	318.75	416.40	362.18	130.47	70.19	41.81	21.93	101.72	38.57	10.00	16.32	6.85	9.88	12.10	24.43	479.65	402.00	534.00	548.00	494.67	80.56	29.13	38.70	39.71	35.85	5.84	70.87	61.30	60.29	64.15	381249.00	376198.00	408852.00	388766.33	2476.00	312.22	254.39	86.66	604.22	780.21	490.36	421.02	253.34	400.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	antigen 078	FGFR2	7	2	4	2864.91	503.50	757.50	236.11	243.92	243.26	2641.04	266.62	517.07	695.00	452.00	750.00	201.00	210.00	211.00	471.13	215.12	509.57	695.00	632.33	1375.30	757.50	210.00	207.33	241.10	243.26	471.13	398.61	1141.58	517.07	1296.27	158.58	4.33	5.51	1304.60	160.06	25.08	94.25	2.66	1.80	40.16	114.28	1167.97	11.00	4.00	8.00	7.67	3.51	0.80	0.29	0.58	0.56	0.25	99.20	99.71	99.42	99.44	31514.00	2014.00	6060.00	13196.00	4932.85	120.49	305.76	5.89	8.85	13.53	9.42	141.49	93.94	56.89	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
134	antigen 082	RAF	7	2	5	740.19	757.75	715.84	360.58	384.38	392.44	390.63	395.14	339.19	645.00	686.00	641.00	303.00	313.00	390.00	295.43	323.38	264.35	645.00	657.33	737.93	740.19	313.00	335.33	379.13	384.38	295.43	294.39	374.98	390.63	21.05	24.91	16.56	47.61	31.08	29.53	3.79	2.85	14.20	4.37	10.03	8.29	402.60	481.00	696.00	528.00	568.33	113.03	34.86	50.43	38.26	41.18	8.19	65.14	49.57	61.74	58.82	356033.00	527397.00	377963.00	420464.33	440.30	483.29	471.63	426.74	569.05	379.73	458.51	166.19	222.54	195.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	antigen 086	CREB1	7	2	6	839.83	910.48	999.63	400.56	432.71	532.33	458.97	502.17	577.79	725.00	805.00	799.00	297.00	313.00	325.00	344.14	396.70	377.16	799.00	776.33	916.64	910.48	313.00	311.67	455.20	432.71	377.16	372.67	512.98	502.17	80.08	44.56	68.70	14.05	60.14	26.56	5.74	8.74	4.51	15.09	7.13	11.72	604.98	795.00	790.00	666.00	750.33	73.08	57.61	57.25	48.26	54.37	5.30	42.39	42.75	51.74	45.63	667661.00	719276.00	665753.00	684230.00	1150.39	1288.12	3061.98	317.18	307.98	125.67	250.28	247.23	265.69	1520.42	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
136	antigen 090	p53 S15A	7	2	7	1058.36	1560.50	1280.62	301.85	280.59	733.90	776.51	1293.57	578.36	672.00	2224.00	1063.00	292.00	285.00	697.00	390.14	1957.07	360.73	1063.00	1319.67	1299.83	1280.62	292.00	424.67	438.78	301.85	390.14	902.65	882.81	776.51	251.62	807.21	255.80	235.87	369.27	913.27	61.17	19.36	55.54	58.30	101.18	41.83	875.16	225.00	8.00	103.00	112.00	108.78	16.30	0.58	7.46	8.12	7.88	83.70	99.42	92.54	91.88	238132.00	12484.00	131904.00	127506.67	2953.94	924.22	1088.07	59.15	11.20	54.75	41.70	173.62	104.25	334.04	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
137	CT100 Control Buffer only 7th grid	Buffer	7	2	8	834.94	824.21	964.40	236.67	305.38	225.25	609.36	535.09	745.42	542.00	585.00	837.00	205.00	286.00	201.00	316.43	295.88	618.02	585.00	654.67	874.51	834.94	205.00	230.67	255.77	236.67	316.43	410.11	629.96	609.36	78.03	159.36	43.34	47.96	106.67	180.35	24.34	8.92	20.79	16.95	43.98	16.93	643.85	31.00	29.00	15.00	25.00	8.72	2.25	2.10	1.09	1.81	0.63	97.75	97.90	98.91	98.19	25883.00	23902.00	14466.00	21417.00	1362.98	777.40	434.47	13.86	19.96	25.74	19.85	109.83	141.38	56.05	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
