	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
138	CT100 Control Buffer only	Buffer	7	6	7	1888.71	846.92	1787.15	264.29	473.48	238.56	1635.10	389.21	1563.99	904.00	732.00	758.00	223.00	470.00	205.00	650.39	274.29	534.84	758.00	798.00	1507.59	1787.15	223.00	299.33	325.44	264.29	534.84	486.51	1196.10	1563.99	574.41	92.71	128.84	148.08	699.69	192.65	11.62	38.10	49.47	39.59	39.60	58.50	1208.26	41.00	119.00	33.00	64.33	47.51	2.97	8.62	2.39	4.66	3.44	97.03	91.38	97.61	95.34	77437.00	100783.00	58976.00	79065.33	2372.01	407.14	4082.02	28.26	113.76	12.64	51.55	107.43	220.53	160.54	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
139	antigen 098	cytochrome P450 3A4	7	7	1	1511.89	1011.40	948.79	959.81	599.87	575.40	655.28	425.15	399.18	1274.00	889.00	814.00	783.00	581.00	507.00	417.39	302.75	264.39	889.00	992.33	1157.36	1011.40	581.00	623.67	711.69	599.87	302.75	328.18	493.21	425.15	308.62	246.80	215.23	142.86	140.96	79.61	24.87	26.67	22.91	30.24	24.26	28.58	533.69	493.00	233.00	200.00	308.67	160.49	35.72	16.88	14.49	22.37	11.63	64.28	83.12	85.51	77.63	745360.00	235657.00	189759.00	390258.67	1059.24	647.40	733.52	304.99	153.01	108.84	188.95	869.98	192.39	252.94	0	0	0	0	3	3	0	0	0	0	0	0	0	0	3	3
140	antigen 114	CEACAM 1 isoform 1	7	8	1	1093.89	1216.71	1105.62	722.66	685.27	702.16	384.10	574.56	416.56	1015.00	978.00	973.00	671.00	592.00	696.00	305.21	335.84	283.94	978.00	988.67	1138.74	1105.62	671.00	653.00	703.36	702.16	305.21	308.33	458.41	416.56	67.78	22.94	18.72	54.29	101.89	26.09	2.32	5.95	8.31	2.66	8.46	22.23	485.74	402.00	318.00	142.00	287.33	132.69	29.13	23.04	10.29	20.82	9.61	70.87	76.96	89.71	79.18	439743.00	386915.00	156998.00	327885.33	497.80	1776.38	439.57	310.18	102.85	134.57	182.53	229.50	437.43	212.13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
141	antigen 118	DPPA4	7	8	2	1219.58	1202.09	745.75	585.39	726.57	493.89	642.14	604.39	362.88	848.00	849.00	636.00	552.00	566.00	372.00	270.55	251.30	253.13	848.00	777.67	1055.81	1202.09	552.00	496.67	601.95	585.39	253.13	258.33	536.47	604.39	268.66	122.69	117.22	108.19	151.51	10.63	15.78	25.45	21.78	19.47	4.11	28.24	559.14	260.00	251.00	300.00	270.33	26.08	18.84	18.19	21.74	19.59	1.89	81.16	81.81	78.26	80.41	317091.00	301725.00	223726.00	280847.33	3111.01	2357.70	564.69	53.67	64.34	192.79	103.60	220.67	1863.64	1691.41	0	3	3	3	3	0	0	0	0	0	0	0	0	0	3	3
142	Cy5-biotin-BSA low 8th grid	Cy5 BSA 5ng/ul	8	1	1	6130.08	5949.63	5144.19	5388.77	5030.73	4501.18	764.76	923.06	772.23	6063.00	5896.00	5049.00	5345.00	5048.00	4350.00	697.67	869.43	677.05	5896.00	5669.33	5741.30	5949.63	5048.00	4914.33	4973.56	5030.73	697.67	748.05	820.02	772.23	524.93	543.67	446.55	510.79	89.32	105.63	9.59	9.14	10.39	8.98	14.12	10.89	826.97	663.00	952.00	852.00	822.33	146.77	48.04	68.99	61.74	59.59	10.64	51.96	31.01	38.26	40.41	4064246.00	5664043.00	4382847.00	4703712.00	395.34	519.30	424.20	1282.53	1692.18	1551.02	1508.58	715.11	648.53	1271.73	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
143	Cy5-biotin-BSA med 8th grid	Cy5 BSA 10ng/ul	8	1	2	5427.33	3951.96	3746.79	3051.80	1986.28	1902.44	2425.43	2010.96	1892.34	5440.00	3966.00	3683.00	2227.00	1356.00	1470.00	2438.11	2025.00	1828.55	3966.00	4363.00	4375.36	3951.96	1470.00	1684.33	2313.51	1986.28	2025.00	2097.22	2109.58	2010.96	916.79	943.38	640.75	473.41	279.90	311.13	21.62	20.95	28.11	27.70	14.84	13.27	2691.03	1241.00	1304.00	1351.00	1298.67	55.19	89.93	94.49	97.90	94.11	4.00	10.07	5.51	2.10	5.89	6735315.00	5153357.00	5061914.00	5650195.33	1003.82	784.28	1076.83	2998.52	3343.55	2374.14	2905.40	1836.13	1453.61	1451.81	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
144	Cy5-biotin-BSA high 8th grid	Cy5 BSA 15ng/ul	8	1	3	4562.45	2326.55	2429.97	2193.74	1396.68	1905.38	2449.51	1034.71	727.01	4644.00	2297.00	2323.00	1767.00	1126.00	2266.00	2531.06	1005.16	620.04	2323.00	3088.00	3106.33	2429.97	1767.00	1719.67	1831.93	1905.38	1005.16	1385.42	1403.74	1034.71	1262.10	1347.60	403.58	571.47	918.64	1010.67	43.64	40.63	33.23	22.03	72.95	65.44	1386.66	1215.00	1186.00	989.00	1130.00	122.97	88.04	85.94	71.67	81.88	8.91	11.96	14.06	28.33	18.12	5543378.00	2759289.00	2403245.00	3568637.33	1098.06	477.00	959.84	2710.38	2572.66	749.10	2010.71	1597.51	1359.93	1823.72	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
145	antigen 017	GAGE1	8	1	4	1195.75	915.41	906.25	646.08	695.07	437.65	572.59	443.81	518.63	1013.00	861.00	799.00	652.00	287.00	316.00	389.84	389.40	411.38	861.00	891.00	1005.81	915.41	316.00	418.33	592.93	646.08	389.84	396.87	511.68	518.63	164.56	110.11	136.69	202.88	64.67	12.56	12.36	16.36	48.50	23.05	3.17	12.64	587.47	710.00	885.00	1043.00	879.33	166.57	51.45	64.13	75.58	63.72	12.07	48.55	35.87	24.42	36.28	848984.00	810137.00	945223.00	868114.67	2116.71	402.26	851.04	192.06	976.42	635.61	601.37	348.97	1570.34	380.34	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	antigen 021	GAGE6	8	1	5	1094.07	1260.65	1143.33	506.18	276.80	270.21	609.80	1002.05	894.35	1060.00	950.00	972.00	546.00	195.00	207.00	575.73	691.40	723.02	972.00	994.00	1166.02	1143.33	207.00	316.00	351.06	276.80	691.40	663.38	835.40	894.35	85.57	58.21	134.37	199.28	202.66	77.54	5.86	7.34	63.06	38.28	11.69	24.26	850.02	1028.00	936.00	975.00	979.67	46.18	74.49	67.83	70.65	70.99	3.35	25.51	32.17	29.35	29.01	1124704.00	1179966.00	1114748.00	1139806.00	356.91	3332.61	1538.19	1756.40	281.44	566.90	868.24	283.38	170.89	147.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	antigen 025	LDHC	8	1	6	816.42	818.98	848.74	386.06	189.27	199.34	488.36	632.29	654.53	789.00	691.00	684.00	204.00	186.00	193.00	460.94	504.31	489.79	691.00	721.33	828.05	818.98	193.00	194.33	258.22	199.34	489.79	485.01	591.72	632.29	17.97	58.71	110.83	9.07	90.21	22.08	8.14	2.17	4.67	42.92	4.55	15.24	633.71	871.00	867.00	877.00	871.67	5.03	63.12	62.83	63.55	63.16	0.36	36.88	37.17	36.45	36.84	711100.00	710057.00	744346.00	721834.33	321.67	1317.06	2109.36	1322.32	416.23	272.13	670.23	386.15	33.69	34.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	antigen 045	NY-ESO-1	8	1	7	1231.40	1410.96	1957.10	1013.20	896.87	805.31	342.25	657.73	1160.33	1145.00	1047.00	1102.00	884.00	760.00	785.00	255.85	293.77	305.23	1102.00	1098.00	1533.15	1410.96	785.00	809.67	905.12	896.87	293.77	284.95	720.10	657.73	377.97	49.12	104.19	65.58	412.59	25.84	4.47	24.65	8.10	11.51	9.07	57.30	723.49	192.00	354.00	195.00	247.00	92.68	13.91	25.65	14.13	17.90	6.72	86.09	74.35	85.87	82.10	236428.00	499481.00	381635.00	372514.67	416.70	3566.52	5983.92	157.69	65.28	37.81	86.93	1715.88	2197.68	154.87	3	3	0	3	0	3	0	0	0	0	0	0	0	0	3	3
149	antigen 121	CTAG2/LAGE-1b/LAGE-1L	8	1	8	1266.16	3227.42	1842.99	538.33	468.02	459.98	745.14	2767.13	1391.26	793.00	690.00	695.00	495.00	476.00	417.00	271.98	229.71	243.28	695.00	726.00	2112.19	1842.99	476.00	462.67	488.78	468.02	243.28	248.32	1634.51	1391.26	1007.96	58.08	43.10	40.67	1032.71	21.58	8.00	47.72	8.79	8.82	8.69	63.18	1649.52	80.00	48.00	73.00	67.00	16.82	5.80	3.48	5.29	4.86	1.22	94.20	96.52	94.71	95.14	101293.00	154916.00	134538.00	130249.00	2403.61	10561.64	4319.07	24.80	12.58	23.51	20.30	166.63	101.53	142.48	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
150	antigen 049	RELT	8	2	1	4101.40	3454.45	2051.10	2508.07	2081.80	1059.03	1631.85	1403.20	1060.17	3881.00	3337.00	1507.00	2976.00	2372.00	605.00	1411.44	1285.75	516.07	3337.00	2908.33	3202.32	3454.45	2372.00	1984.33	1882.97	2081.80	1285.75	1071.09	1365.07	1403.20	1048.15	1243.70	744.70	1232.12	287.74	484.75	42.76	32.73	62.09	39.55	45.26	21.08	1217.98	341.00	309.00	381.00	343.67	36.07	24.71	22.39	27.61	24.90	2.61	75.29	77.61	72.39	75.10	1398579.00	1067424.00	781468.00	1082490.33	1772.36	1473.06	2053.45	313.97	294.35	196.71	268.34	1804.81	1441.84	1020.09	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
151	antigen 053	SPAG9	8	2	2	910.10	4993.00	551.50	603.54	211.69	232.13	329.31	4784.70	329.80	877.00	733.00	625.00	508.00	203.00	204.00	296.21	524.70	403.30	733.00	745.00	2151.53	910.10	204.00	305.00	349.12	232.13	403.30	408.07	1814.60	329.80	2467.31	126.43	220.57	175.80	2572.18	114.32	16.97	114.68	57.64	63.18	28.01	141.75	1846.53	234.00	3.00	2.00	79.67	133.66	16.96	0.22	0.14	5.77	9.69	83.04	99.78	99.86	94.23	212963.00	14979.00	1103.00	76348.33	129.14	7574.23	103.94	596.70	1.90	6.35	201.65	375.53	38.77	98.21	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
152	antigen 057	SPANXD	8	2	3	740.50	1322.33	1729.67	199.19	214.20	234.43	544.52	1115.95	1511.50	976.00	822.00	704.00	196.00	200.00	205.00	780.02	615.62	485.83	822.00	834.00	1264.17	1322.33	200.00	200.33	215.94	214.20	615.62	627.16	1057.33	1115.95	497.14	136.40	17.69	4.51	486.15	147.43	16.35	39.33	2.25	8.19	23.51	45.98	1063.83	2.00	9.00	6.00	5.67	3.51	0.14	0.65	0.43	0.41	0.25	99.86	99.35	99.57	99.59	1481.00	11901.00	10378.00	7920.00	333.05	1207.80	1979.16	3.27	8.32	4.58	5.39	32.98	54.02	116.12	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
153	antigen 077	FES	8	2	4	597.88	610.29	0.00	196.45	210.56	212.28	403.99	402.67	0.00	558.00	545.00	0.00	191.00	204.00	202.00	364.12	337.38	0.00	545.00	367.67	402.72	597.88	202.00	199.00	206.43	210.56	337.38	233.83	268.89	402.67	348.82	318.48	8.68	7.00	232.86	202.95	86.62	86.62	3.52	4.21	86.79	86.60	203.72	8.00	7.00	0.00	5.00	4.36	0.58	0.51	0.00	0.36	0.32	99.42	99.49	100.00	99.64	4783.00	4272.00	0.00	3018.33	129.86	161.05	0.00	24.89	17.50	<NO DATA>	14.13	24.52	28.51	29.51	0	0	0	3	3	3	1	0	3	0	0	3	0	0	3	3
154	antigen 081	PRKCZ	8	2	5	576.00	463.50	1340.83	220.91	197.07	221.48	376.48	267.84	1139.97	539.00	503.00	1232.00	198.00	196.00	196.00	339.48	307.34	1031.14	539.00	758.00	793.44	576.00	196.00	196.67	213.15	220.91	339.48	559.32	594.77	376.48	477.38	410.89	13.94	1.15	475.27	408.92	54.21	60.17	0.59	6.54	73.11	79.91	596.78	3.00	2.00	6.00	3.67	2.08	0.22	0.14	0.43	0.27	0.15	99.78	99.86	99.57	99.73	1728.00	927.00	8045.00	3566.67	163.67	55.86	1215.63	6.90	9.59	5.63	7.37	299.45	17.33	127.90	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
155	antigen 085	CDC25A	8	2	6	873.35	835.19	807.29	191.46	193.18	224.63	682.59	642.46	606.50	867.00	811.00	778.00	192.00	195.00	193.00	676.24	618.27	577.20	811.00	818.67	838.61	835.19	193.00	193.33	203.09	193.18	618.27	623.90	643.85	642.46	33.16	44.99	18.67	1.53	38.07	49.76	5.50	3.95	0.79	9.19	7.98	5.91	645.28	435.00	397.00	448.00	426.67	26.50	31.52	28.77	32.46	30.92	1.92	68.48	71.23	67.54	69.08	379907.00	331569.00	361668.00	357714.67	246.39	232.14	344.46	1205.09	1098.72	788.81	1030.87	15.53	31.85	275.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	antigen 089	p53 C141Y	8	2	7	739.06	619.38	885.00	230.41	224.10	547.80	522.55	407.93	351.81	598.00	589.00	834.00	203.00	196.00	486.00	381.50	377.55	300.80	598.00	673.67	747.81	739.06	203.00	295.00	334.11	230.41	377.55	353.29	427.43	407.93	133.03	138.93	185.10	165.45	87.03	45.49	20.62	17.79	56.08	55.40	12.88	20.36	452.81	667.00	686.00	206.00	519.67	271.81	48.33	49.71	14.93	37.66	19.70	51.67	50.29	85.07	62.34	492952.00	424894.00	182311.00	366719.00	2437.60	283.66	165.12	142.99	986.54	438.90	522.81	104.48	82.60	250.26	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
157	CT100 Control Buffer only 8th grid	Buffer	8	2	8	1461.00	1230.20	625.00	200.43	194.13	203.62	1267.03	1040.49	423.30	1182.00	1090.00	579.00	191.00	188.00	201.00	988.03	900.29	377.30	1090.00	950.33	1105.40	1230.20	191.00	193.33	199.39	200.43	900.29	755.21	910.27	1040.49	431.75	324.86	4.83	6.81	436.67	330.20	34.18	39.06	3.52	2.42	43.72	47.97	912.07	18.00	10.00	3.00	10.33	7.51	1.30	0.72	0.22	0.75	0.54	98.70	99.28	99.78	99.25	26298.00	12302.00	1875.00	13491.67	1179.88	781.87	102.09	19.33	13.31	12.44	15.03	69.66	36.22	16.52	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
158	antigen 016	FTHL17	8	6	7	863.52	1090.44	1213.76	490.90	663.48	540.80	431.53	425.04	681.61	789.00	998.00	904.00	391.00	685.00	564.00	357.01	332.61	371.86	904.00	897.00	1055.90	1090.44	564.00	546.67	565.06	540.80	357.01	353.82	512.73	431.53	177.66	104.68	88.81	147.76	146.29	19.82	11.67	16.82	27.03	15.72	5.60	28.53	509.24	1195.00	480.00	728.00	801.00	363.05	86.59	34.78	52.75	58.04	26.31	13.41	65.22	47.25	41.96	1031901.00	523410.00	883614.00	812975.00	356.12	1059.38	3046.14	1448.03	192.59	162.90	601.17	750.69	232.37	237.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	antigen 097	p53 L344P	8	7	1	1186.05	1190.57	938.16	664.59	936.06	645.76	530.22	470.75	306.39	925.00	1015.00	895.00	615.00	696.00	603.00	269.18	295.18	263.23	925.00	945.00	1104.93	1186.05	615.00	638.00	748.80	664.59	269.18	275.86	435.79	470.75	144.44	62.45	162.45	50.59	115.94	16.99	6.61	13.07	7.93	21.69	6.16	26.60	466.93	163.00	253.00	224.00	213.33	45.94	11.81	18.33	16.23	15.46	3.33	88.19	81.67	83.77	84.54	193326.00	301215.00	210147.00	234896.00	1831.95	1591.62	221.19	47.18	74.83	310.28	144.10	168.88	2995.16	175.05	0	3	0	3	3	3	0	0	0	0	0	0	0	0	3	3
160	antigen 113	ROPN1A	8	8	1	1188.69	995.68	989.92	599.71	646.43	658.10	600.66	360.50	360.52	915.00	950.00	872.00	575.00	585.00	584.00	326.97	314.82	242.60	915.00	912.33	1058.10	995.68	584.00	581.33	634.74	646.43	314.82	294.80	440.56	360.52	113.13	39.07	30.90	5.51	138.65	45.61	4.28	10.69	0.95	4.87	15.47	31.47	476.76	337.00	311.00	222.00	290.00	60.31	24.42	22.54	16.09	21.01	4.37	75.58	77.46	83.91	78.99	400588.00	309656.00	219762.00	310002.00	2033.84	213.37	419.82	99.53	525.46	190.64	271.88	194.12	178.53	256.95	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
161	antigen 117	BORIS B0	8	8	2	1743.21	1357.76	1372.13	639.13	610.95	597.77	1168.84	761.58	791.22	1300.00	857.00	972.00	531.00	593.00	578.00	725.64	260.83	391.09	972.00	1043.00	1491.03	1372.13	578.00	567.33	615.95	610.95	391.09	459.19	907.22	791.22	218.51	229.88	21.13	32.35	227.06	239.77	22.04	14.65	5.70	3.43	52.22	25.03	923.70	1037.00	123.00	102.00	420.67	533.86	75.14	8.91	7.39	30.48	38.69	24.86	91.09	92.61	69.52	1807705.00	167004.00	139957.00	704888.67	1440.87	2601.35	2021.47	841.22	36.01	39.92	305.72	452.65	196.25	187.46	0	0	0	0	3	3	0	0	0	0	0	0	0	0	3	3
